#
# ID	PID	H	K	L	sum(int)	max(int)	pred tth          	pred eta          	 pred ome          	meas tth          	meas eta          	 meas ome          	meas X            	meas Y            	 meas ome
#
0     	1     	0  	-1 	-2 	1.070719e+06	1.445000e+04	4.412885324584e-02	-7.333790689621e-02	-3.818036879880e-01	4.414469429877e-02	-7.318791797632e-02	-3.818826885308e-01	4.758389400390e+01	-1.047692635718e-01	-3.818826885308e-01
1     	14    	0  	-1 	4  	5.619637e+06	1.444200e+04	6.020344383428e-02	-1.330044028161e+00	9.608025971868e-01	6.020468068622e-02	-1.330012133146e+00	9.597389886607e-01	1.659836280603e+01	-5.829474592745e+01	9.597389886607e-01
2     	14    	1  	-1 	-4 	2.647450e+06	1.440700e+04	6.020503863328e-02	5.942623049980e-01	1.088401208440e-01	6.020457202817e-02	5.943767108660e-01	1.092197412460e-01	5.366958845963e+01	3.876275758661e+01	1.092197412460e-01
3     	0     	1  	-2 	0  	1.030051e+06	1.447000e+04	6.454131260855e-02	-3.937594327680e-01	3.079010296208e-01	6.454324883263e-02	-3.938074917898e-01	3.079304022272e-01	6.405791998413e+01	-2.272785640864e+01	3.079304022272e-01
4     	0     	-1 	-1 	0  	2.003513e+06	1.446200e+04	6.454250089414e-02	-6.719612923402e-01	-8.988888439274e-01	6.454746880166e-02	-6.720309369555e-01	-8.986557958540e-01	5.457460095140e+01	-3.896680670134e+01	-8.986557958540e-01
5     	8     	1  	-2 	3  	9.853500e+04	1.003000e+03	7.364655454496e-02	-7.914810530172e-01	6.685266359048e-01	7.356857009255e-02	-7.916210880798e-01	6.679254197061e-01	5.586060895619e+01	-5.178760822456e+01	6.679254197061e-01
6     	8     	1  	-2 	-3 	1.403569e+06	1.442300e+04	7.364939183413e-02	3.881994760242e-02	4.316827387147e-02	7.366441597081e-02	3.897849505155e-02	4.329881584331e-02	7.874510537650e+01	6.381044724720e+00	4.329881584331e-02
7     	8     	-1 	-1 	-3 	1.391781e+06	1.448100e+04	7.365027650092e-02	-1.713996883827e-01	-8.434009140088e-01	7.365629207908e-02	-1.713354851740e-01	-8.433160039234e-01	7.774013677758e+01	-9.857190680831e+00	-8.433160039234e-01
8     	8     	2  	-1 	-3 	8.833200e+04	7.810000e+02	7.364740931971e-02	6.242790930162e-01	7.842711043395e-01	7.339988296031e-02	6.245860392712e-01	7.843339371410e-01	6.389695313387e+01	4.850066019034e+01	7.843339371410e-01
9     	4     	0  	-2 	2  	1.102520e+05	1.508000e+03	7.819312061894e-02	-9.098549128939e-01	-1.192340075517e-01	7.819373239654e-02	-9.098121917415e-01	-1.191912655699e-01	5.197087097295e+01	-6.168139423041e+01	-1.191912655699e-01
10    	4     	2  	-2 	-2 	7.123000e+03	1.170000e+02	7.819268892776e-02	1.565133336132e-01	5.470122482796e-01	7.820405367948e-02	1.564205907911e-01	5.470122482796e-01	8.260072231617e+01	1.619392977003e+01	5.470122482796e-01
