#
# ID	PID	H	K	L	sum(int)	max(int)	pred tth          	pred eta          	 pred ome          	meas tth          	meas eta          	 meas ome          	meas X            	meas Y            	 meas ome
#
0     	1     	0  	-1 	-2 	1.131943e+06	1.445000e+04	4.412849390080e-02	-7.334823406068e-02	-3.818142309364e-01	4.413212076611e-02	-7.328492114406e-02	-3.818946596657e-01	4.765221560049e+01	-2.016704479374e-03	-3.818946596657e-01
1     	14    	0  	-1 	4  	5.267514e+06	1.444200e+04	6.020274796749e-02	-1.330051676151e+00	9.607442144719e-01	6.020310841998e-02	-1.330061670419e+00	9.595875786561e-01	1.653987475430e+01	-5.818229406430e+01	9.595875786561e-01
2     	14    	1  	-1 	-4 	2.771988e+06	1.440700e+04	6.020505349670e-02	5.942636934119e-01	1.088428110256e-01	6.020977628952e-02	5.942521180978e-01	1.093065499117e-01	5.371308169494e+01	3.886165391305e+01	1.093065499117e-01
3     	0     	1  	-2 	0  	1.138809e+06	1.447000e+04	6.454114640551e-02	-3.937497153327e-01	3.078866321845e-01	6.454226809024e-02	-3.936841425114e-01	3.079141575319e-01	6.407154437490e+01	-2.261106970226e+01	3.079141575319e-01
4     	0     	-1 	-1 	0  	1.949602e+06	1.446000e+04	6.454300118345e-02	-6.719736300799e-01	-8.989142359248e-01	6.453255560539e-02	-6.719943947857e-01	-8.986337893030e-01	5.467352796003e+01	-3.884798758101e+01	-8.986337893030e-01
5     	8     	1  	-2 	3  	1.348970e+05	1.119000e+03	7.364568601460e-02	-7.914709462379e-01	6.685009068801e-01	7.348674587848e-02	-7.903637291793e-01	6.678976616161e-01	5.584039841469e+01	-5.154608067426e+01	6.678976616161e-01
6     	8     	1  	-2 	-3 	1.414530e+06	1.442300e+04	7.364925320750e-02	3.882200551973e-02	4.316191757415e-02	7.365903799420e-02	3.869603830566e-02	4.332028634174e-02	7.877943580949e+01	6.464580751471e+00	4.332028634174e-02
7     	8     	-1 	-1 	-3 	1.454126e+06	1.448300e+04	7.364980679054e-02	-1.714205142575e-01	-8.434197121628e-01	7.364473761883e-02	-1.715741209585e-01	-8.433650523230e-01	7.783235666152e+01	-9.766832055107e+00	-8.433650523230e-01
8     	8     	2  	-1 	-3 	9.452300e+04	8.490000e+02	7.364868897964e-02	6.242846819634e-01	7.842618185531e-01	7.337546851509e-02	6.244640465309e-01	7.847244952322e-01	6.383988046252e+01	4.857902062424e+01	7.847244952322e-01
9     	4     	0  	-2 	2  	1.149620e+05	1.308000e+03	7.819299125073e-02	-9.098541820462e-01	-1.192594219279e-01	7.819995147011e-02	-9.098320006481e-01	-1.192594219279e-01	5.203189033188e+01	-6.157572348954e+01	-1.192594219279e-01
10    	4     	2  	-2 	-2 	7.120000e+03	1.960000e+02	7.819337425060e-02	1.565268320790e-01	5.470018279005e-01	7.820030241300e-02	1.566112386856e-01	5.470018279005e-01	8.257661883375e+01	1.631322001743e+01	5.470018279005e-01
11    	17    	0  	-2 	-4 	1.627359e+06	1.449300e+04	8.827848924243e-02	-7.338155272510e-02	-4.039487749953e-01	8.829271269980e-02	-7.339382818283e-02	-4.041974992597e-01	9.413050046756e+01	-3.316682420895e+00	-4.041974992597e-01
12    	45    	1  	-2 	-6 	1.839896e+06	1.444000e+04	9.592304800808e-02	3.236245325828e-01	-1.416975521657e-01	9.592673437080e-02	3.236130931901e-01	-1.415874882329e-01	9.710040486385e+01	3.564684389710e+01	-1.415874882329e-01
