# ID    PID     H       K       L       sum(int)      max(int)      pred tth                 pred eta                 pred ome                 meas tth                 meas eta                 meas ome                 pred X                   pred Y                   meas X                   meas Y                 
0       0       0       -1      -2      9.517710e+05  1.445000e+04  4.4130052628229020e-02   -7.3441498908475192e-02  -3.8205831367511556e-01  4.4129643673356582e-02   -7.3526638309761472e-02  -3.8215601694885082e-01  4.7707729886504616e+01   -4.3855086810521617e-02  4.7707018109746478e+01   -4.7763595279640414e-02
1       1       0       -1      4       5.587430e+06  1.444200e+04  6.0196392068169152e-02   -1.3281409178129533e+00  9.6234720341722402e-01   6.0222820962698279e-02   -1.3302468232001061e+00  9.6110037455748021e-01   1.6808558751076919e+01   -5.8170705858471102e+01  1.6685881370362790e+01   -5.8229982827616951e+01
2       1       1       -1      -4      2.643177e+06  1.440900e+04  6.0131393139878225e-02   5.9434235361136778e-01   1.0730494508899589e-01   6.0190422230447876e-02   5.9414761694988649e-01   1.0760467689560149e-01   5.3759246514612251e+01   3.8783504668715302e+01   5.3817646097191307e+01   3.8808267208759915e+01 
3       2       1       -2      0       1.196389e+06  1.447100e+04  6.4538253613637964e-02   -3.9382774940261578e-01  3.0815235315170469e-01   6.4542941986176758e-02   -3.9405187436436917e-01  3.0817452373443921e-01   6.4198112382513486e+01   -2.2651213798736798e+01  6.4196876303528512e+01   -2.2667164651353250e+01
4       2       -1      -1      0       1.760117e+06  1.446000e+04  6.4509130908464885e-02   -6.7182044141889785e-01  -8.9734049529019944e-01  6.4551626468558151e-02   -6.7229379564800107e-01  -9.0140654960616196e-01  5.4638013391291011e+01   -3.8858470986746070e+01  5.4653134043108324e+01   -3.8911487478412582e+01
5       3       0       0       -6      2.334290e+05  4.036000e+03  7.0927855085365518e-02   8.9210412378803849e-01   -7.4765205606056540e-01  7.0930993131842118e-02   8.9274645802832975e-01   -7.4351219928659784e-01  4.8149232332702020e+01   6.1449869926050262e+01   4.8113995854028332e+01   6.1482455693305589e+01 
6       4       1       -2      3       1.068470e+05  8.530000e+02  7.3673680873638084e-02   -7.9078946990291532e-01  6.6935099209833870e-01   7.3517989219074972e-02   -7.9314123642482703e-01  6.6812322426299453e-01   5.6104729630383645e+01   -5.1736492861898988e+01  5.5859639657585838e+01   -5.1747993454862552e+01
7       4       1       -2      -3      1.311429e+06  1.442300e+04  7.3613159539288389e-02   3.8534718095786444e-02   4.2644075916720064e-02   7.3639893535320175e-02   3.8619401947244739e-02   4.2782428862792016e-02   7.8843097829772645e+01   6.4156019665630009e+00   7.8871039102963863e+01   6.4233111740232864e+00 
8       4       -1      -1      -3      1.495601e+06  1.448200e+04  7.3656841757684346e-02   -1.7126879851198343e-01  -8.4307973166392147e-01  7.3647513526197181e-02   -1.7162040876005349e-01  -8.4302773124972763e-01  7.7835532468914423e+01   -9.7806075503618537e+00  7.7821237009390984e+01   -9.8058111855383050e+00
9       4       2       -1      -3      9.221400e+04  7.190000e+02  7.3510275550109125e-02   6.2477736232773351e-01   7.8407916086126062e-01   7.3346270285137835e-02   6.2442043355661858e-01   7.8469991732060829e-01   6.4087845015845417e+01   4.8640606404871555e+01   6.3963773577719998e+01   4.8516678343759096e+01 
10      5       0       -2      2       1.199000e+05  1.563000e+03  7.8190641361194177e-02   -9.0927872110704722e-01  -1.1729657026069079e-01  7.8203062032964843e-02   -9.1002462890729419e-01  -1.2159056786471646e-01  5.2154687348453081e+01   -6.1572312143506515e+01  5.2114341509143244e+01   -6.1620478032012429e+01
11      5       2       -2      -2      7.519000e+03  2.360000e+02  7.8104473217064693e-02   1.5623150066329883e-01   5.4678721536201169e-01   7.8199279996576346e-02   1.5627602950066771e-01   5.4678721536201169e-01   8.2625567970354140e+01   1.6230718527019761e+01   8.2723917203864929e+01   1.6250154087340473e+01 
12      6       0       -2      -4      1.593296e+06  1.449300e+04  8.8281608977116233e-02   -7.3475342602061094e-02  -4.0419379217210838e-01  8.8287918830357248e-02   -7.3647076843626910e-02  -4.0446818407689694e-01  9.4173921572128890e+01   -3.3579049829535261e+00  9.4179443167361754e+01   -3.3743065031831341e+00
