# ID    PID     H       K       L       sum(int)      max(int)      pred tth                 pred eta                 pred ome                 meas tth                 meas eta                 meas ome                 pred X                   pred Y                   meas X                   meas Y                 
0       0       0       -1      -2      9.558970e+05  1.445000e+04  4.4129415927975139e-02   -7.3362056004753859e-02  -3.8156465162196701e-01  4.4129096331288975e-02   -7.3279577572835181e-02  -3.8166277763065337e-01  4.7706837946291238e+01   -4.8375125283708666e-02  4.7706772712599097e+01   -4.4535299173353478e-02
1       1       0       -1      4       5.520022e+06  1.444200e+04  6.0201924971540345e-02   -1.3297283270168767e+00  9.6118786410384549e-01   6.0214747881740686e-02   -1.3301331462763619e+00  9.5992095931134225e-01   1.6705927614377099e+01   -5.8208887382564861e+01  1.6684306206314378e+01   -5.8228188956475122e+01
2       1       1       -1      -4      2.625284e+06  1.440900e+04  6.0193966205265188e-02   5.9425823564986935e-01   1.0886078016261905e-01   6.0196877215146757e-02   5.9423924306085107e-01   1.0915923241938499e-01   5.3813228575431268e+01   3.8807693468269790e+01   5.3816444537249289e+01   3.8808422537774824e+01 
3       2       1       -2      0       1.186660e+06  1.447100e+04  6.4542766968534268e-02   -3.9375603623378691e-01  3.0818169955342434e-01   6.4546855694920885e-02   -3.9392097530021009e-01  3.0820423943071584e-01   6.4199695074408552e+01   -2.2656679892385860e+01  6.4199408688769154e+01   -2.2668676188930458e+01
4       2       -1      -1      0       1.787173e+06  1.446000e+04  6.4536438523314255e-02   -6.7195382811776994e-01  -8.9837193587769448e-01  6.4543035274424981e-02   -6.7221898740913133e-01  -9.0243245123370286e-01  5.4657771245178651e+01   -3.8891466607304771e+01  5.4652001217094252e+01   -3.8909899430477374e+01
5       4       1       -2      3       1.115820e+05  8.530000e+02  7.3651691864446617e-02   -7.9134879524427548e-01  6.6886716492440446e-01   7.3514724945739657e-02   -7.9311644516486068e-01  6.6760781465822194e-01   5.6051592096722494e+01   -5.1758689702287981e+01  5.5852566740442150e+01   -5.1752306446555444e+01
6       4       1       -2      -3      1.402380e+06  1.442300e+04  7.3645650488025044e-02   3.8768461154199400e-02   4.3346749153844670e-02   7.3640754436115355e-02   3.8627171617845471e-02   4.3489763278168884e-02   7.8873287950784245e+01   6.4268132232848600e+00   7.8868572348906639e+01   6.4156618428399259e+00 
7       4       -1      -1      -3      1.494463e+06  1.448200e+04  7.3650040791575708e-02   -1.7139241110890896e-01  -8.4307468319627332e-01  7.3642476184250752e-02   -1.7154505487117580e-01  -8.4302305193726557e-01  7.7829181614815468e+01   -9.7970254150587053e+00  7.7819316793387614e+01   -9.8073409456234089e+00
8       4       2       -1      -3      9.255500e+04  7.190000e+02  7.3625744853220432e-02   6.2435468439990627e-01   7.8447500314604612e-01   7.3356274679551609e-02   6.2431676199205421e-01   7.8511171690752413e-01   6.4199468080288938e+01   4.8677253915754861e+01   6.3970704897620941e+01   4.8508014440449458e+01 
9       6       0       -2      -4      1.619021e+06  1.449300e+04  8.8280334645337410e-02   -7.3395840136494195e-02  -4.0369968106577259e-01  8.8289777363479843e-02   -7.3532182267827040e-02  -4.0397389848800058e-01  9.4172469056438047e+01   -3.3586593056267620e+00  9.4181535754717899e+01   -3.3720138569097546e+00
