# ID    PID     H       K       L       sum(int)      max(int)      pred tth                 pred eta                 pred ome                 meas tth                 meas eta                 meas ome                 pred X                   pred Y                   meas X                   meas Y                 
0       0       0       -1      -2      1.047962e+06  1.445000e+04  4.4136060904022910e-02   -7.3355070477802001e-02  -3.8172268182861113e-01  4.4133287446176839e-02   -7.3258701937449752e-02  -3.8180423895899385e-01  4.7697582967773805e+01   -4.7291642267038067e-02  4.7694990916201604e+01   -4.2625590391242335e-02
1       1       0       -1      4       5.418410e+06  1.444100e+04  6.0211872205341223e-02   -1.3299682914234485e+00  9.6094818671605209e-01   6.0216969043366153e-02   -1.3299597570935353e+00  9.5994704652271978e-01   1.6652962391580200e+01   -5.8221941912798279e+01  1.6654777505177194e+01   -5.8227026203050094e+01
2       1       1       -1      -4      2.683640e+06  1.440900e+04  6.0211890745226725e-02   5.9426457312290348e-01   1.0884772424139333e-01   6.0210762839036765e-02   5.9429652827689827e-01   1.0913848508810096e-01   5.3796291479753194e+01   3.8818831482499398e+01   5.3794165917837105e+01   3.8819837634289300e+01 
3       2       1       -2      0       1.159205e+06  1.446900e+04  6.4550146921973819e-02   -3.9375485691916651e-01  3.0797969721161567e-01   6.4555729425802358e-02   -3.9378096650177741e-01  3.0800487127926834e-01   6.4169952770952804e+01   -2.2657968593085506e+01  6.4174718522773148e+01   -2.2661853736656642e+01
4       2       -1      -1      0       1.841372e+06  1.446000e+04  6.4551112831277527e-02   -6.7198502238470958e-01  -8.9873657991824030e-01  6.4550634072462268e-02   -6.7215036745333134e-01  -9.0276850439927259e-01  5.4672916131017381e+01   -3.8899919167272266e+01  5.4665666521952637e+01   -3.8908408208949758e+01
5       4       1       -2      3       1.212780e+05  6.220000e+02  7.3657069444131695e-02   -7.9145310177138684e-01  6.6863243563252051e-01   7.3456997938122742e-02   -7.9111950064512859e-01  6.6654330912821735e-01   5.6008852034981246e+01   -5.1766973891967261e+01  5.5878311075092832e+01   -5.1598833669886638e+01
6       4       1       -2      -3      1.412973e+06  1.442200e+04  7.3659494963791761e-02   3.8811494287581606e-02   4.3219056187669712e-02   7.3649658128897205e-02   3.8662536518285821e-02   4.3357224550975286e-02   7.8856465955117173e+01   6.4317687977046871e+00   7.8846558648067074e+01   6.4198079706891660e+00 
7       4       -1      -1      -3      1.482139e+06  1.448200e+04  7.3661871054541347e-02   -1.7142308160408926e-01  -8.4328500910872706e-01  7.3655602654464455e-02   -1.7154296732071678e-01  -8.4323404956756387e-01  7.7842239437256254e+01   -9.7997852007858928e+00  7.7834149008772130e+01   -9.8078299291743498e+00
8       4       2       -1      -3      1.080020e+05  6.540000e+02  7.3652793591957380e-02   6.2433162102350659e-01   7.8432906821598691e-01   7.3324071411614497e-02   6.2452155990146063e-01   7.8434676358765543e-01   6.4182396963498292e+01   4.8693588999068432e+01   6.3892641583165421e+01   4.8501906179896395e+01 
9       6       0       -2      -4      1.671817e+06  1.449300e+04  8.8293634318047223e-02   -7.3388862681325120e-02  -4.0386103623775904e-01  8.8303186093807870e-02   -7.3476629516380065e-02  -4.0414890354097949e-01  9.4169426347469710e+01   -3.3576301763386383e+00  9.4178939618227290e+01   -3.3664887933738337e+00
