#
# ID	PID	H	K	L	sum(int)	max(int)	pred tth          	pred eta          	 pred ome          	meas tth          	meas eta          	 meas ome          	meas X            	meas Y            	 meas ome
#
0     	1     	0  	-1 	-2 	1.131943e+06	1.445000e+04	4.412847055135e-02	-7.334848870264e-02	-3.818106133439e-01	4.413209741666e-02	-7.328517578601e-02	-3.818910420732e-01	4.765218566630e+01	-2.034781112581e-03	-3.818910420732e-01
1     	14    	0  	-1 	4  	5.270942e+06	1.444200e+04	6.020273191117e-02	-1.330049750795e+00	9.607483879107e-01	6.020319523915e-02	-1.330063755912e+00	9.595916690650e-01	1.653986929433e+01	-5.818242417690e+01	9.595916690650e-01
2     	14    	1  	-1 	-4 	2.772018e+06	1.440700e+04	6.020502043977e-02	5.942632664579e-01	1.088459056595e-01	6.020974092304e-02	5.942518295616e-01	1.093096395268e-01	5.371310741603e+01	3.886161353309e+01	1.093096395268e-01
3     	0     	1  	-2 	0  	1.138809e+06	1.447000e+04	6.454120562065e-02	-3.937492770973e-01	3.078909554398e-01	6.454232730538e-02	-3.936837042760e-01	3.079184807872e-01	6.407167835129e+01	-2.261107573397e+01	3.079184807872e-01
4     	0     	-1 	-1 	0  	1.949809e+06	1.446000e+04	6.454294268308e-02	-6.719739386063e-01	-8.989105535258e-01	6.453255418746e-02	-6.719944984450e-01	-8.986301366774e-01	5.467346691173e+01	-3.884800349681e+01	-8.986301366774e-01
5     	8     	1  	-2 	3  	1.349680e+05	1.119000e+03	7.364575937382e-02	-7.914693640565e-01	6.685049810041e-01	7.348671745631e-02	-7.903630737494e-01	6.679008569204e-01	5.584050283407e+01	-5.154603430193e+01	6.679008569204e-01
6     	8     	1  	-2 	-3 	1.414488e+06	1.442300e+04	7.364926169113e-02	3.882168945175e-02	4.316580679986e-02	7.365903517625e-02	3.869591283578e-02	4.332418026984e-02	7.877947548555e+01	6.464563601221e+00	4.332418026984e-02
7     	8     	-1 	-1 	-3 	1.454126e+06	1.448300e+04	7.364975369463e-02	-1.714207156598e-01	-8.434167944858e-01	7.364468452292e-02	-1.715743223608e-01	-8.433621346460e-01	7.783225038789e+01	-9.766846940146e+00	-8.433621346460e-01
8     	8     	2  	-1 	-3 	9.446200e+04	8.490000e+02	7.364867315569e-02	6.242841047507e-01	7.842646433952e-01	7.337550901967e-02	6.244697177202e-01	7.847264178794e-01	6.383975419776e+01	4.857939503295e+01	7.847264178794e-01
9     	4     	0  	-2 	2  	1.149620e+05	1.308000e+03	7.819298152825e-02	-9.098536389758e-01	-1.192536294387e-01	7.819994174762e-02	-9.098314575776e-01	-1.192536294387e-01	5.203194237563e+01	-6.157570193124e+01	-1.192536294387e-01
10    	4     	2  	-2 	-2 	7.120000e+03	1.960000e+02	7.819343436427e-02	1.565263632246e-01	5.470052602121e-01	7.820036252666e-02	1.566107698313e-01	5.470052602121e-01	8.257677173739e+01	1.631318529651e+01	5.470052602121e-01
11    	17    	0  	-2 	-4 	1.627359e+06	1.449300e+04	8.827844250938e-02	-7.338180750777e-02	-4.039451460938e-01	8.829266596675e-02	-7.339408296550e-02	-4.041938703581e-01	9.413044714126e+01	-3.316710910579e+00	-4.041938703581e-01
12    	45    	1  	-2 	-6 	1.839896e+06	1.444000e+04	9.592300429119e-02	3.236241425502e-01	-1.416941684976e-01	9.592669065390e-02	3.236127031575e-01	-1.415841045648e-01	9.710039915923e+01	3.564678727374e+01	-1.415841045648e-01
13    	45    	1  	1  	-6 	9.556961e+06	1.439600e+04	9.592037618021e-02	1.477570422048e+00	9.484125120119e-01	9.592279733306e-02	1.477554444869e+00	9.488972140388e-01	1.048155271216e+01	1.039679297072e+02	9.488972140388e-01
14    	45    	-1 	-1 	-6 	1.640927e+06	1.444500e+04	9.592259051575e-02	1.577849914199e-01	-8.270707040586e-01	9.592031345082e-02	1.578149181046e-01	-8.271333515090e-01	1.012097640541e+02	1.939980911995e+01	-8.271333515090e-01
15    	45    	2  	-1 	-6 	3.437910e+06	1.442200e+04	9.592199855299e-02	8.290092173772e-01	4.085929580457e-01	9.592687077491e-02	8.291087620466e-01	4.088026911424e-01	6.941752866953e+01	7.797246958545e+01	4.088026911424e-01
16    	2     	1  	-3 	1  	1.053220e+05	1.275000e+03	9.931811414819e-02	-5.949723583688e-01	1.693697657729e-01	9.932611415453e-02	-5.949437079206e-01	1.694336898115e-01	8.815358689089e+01	-5.518304089602e+01	1.694336898115e-01
17    	2     	2  	-3 	-1 	5.920800e+04	1.165000e+03	9.931838170363e-02	-1.892628471048e-01	3.879806235342e-01	9.931649899482e-02	-1.892882213962e-01	3.879806235342e-01	1.041529132504e+02	-1.617010011975e+01	3.879806235342e-01
18    	2     	3  	-2 	-1 	2.330300e+04	4.070000e+02	9.931836673557e-02	2.185629929781e-01	9.129338844970e-01	9.933878903159e-02	2.185030456603e-01	9.124824416756e-01	1.034552957864e+02	2.621818656787e+01	9.124824416756e-01
19    	2     	-1 	-2 	1  	1.823380e+05	2.567000e+03	9.932025223302e-02	-7.978586414227e-01	-6.772237976929e-01	9.931655617384e-02	-7.978939416502e-01	-6.771579427134e-01	7.467846806383e+01	-7.147612440754e+01	-6.771579427134e-01
20    	5     	2  	-3 	2  	2.240000e+03	8.600000e+01	1.014079799339e-01	-4.745070954625e-01	6.065398000284e-01	1.014106513562e-01	-4.745605239090e-01	6.021764768985e-01	9.649685676644e+01	-4.533999792338e+01	6.021764768985e-01
21    	5     	1  	-3 	-2 	8.730700e+04	1.469000e+03	1.014115362397e-01	-2.799744919516e-01	-6.081375059189e-03	1.014120622453e-01	-2.800010571114e-01	-6.081375059189e-03	1.041330697813e+02	-2.601515045722e+01	-6.081375059189e-03
22    	5     	-1 	-2 	-2 	1.198500e+05	2.703000e+03	1.014128812933e-01	-4.428546205715e-01	-6.822962317687e-01	1.014177521408e-01	-4.428484106570e-01	-6.822773003709e-01	9.811113919976e+01	-4.229487828748e+01	-6.822773003709e-01
23    	95    	0  	-1 	-8 	6.198660e+05	7.217000e+03	1.016794352206e-01	5.375115378827e-01	-5.843173164440e-01	1.016787120450e-01	5.374628871913e-01	-5.875105164066e-01	9.334192829788e+01	5.836418254286e+01	-5.875105164066e-01
24    	95    	1  	0  	-8 	9.719560e+05	1.441200e+04	1.016780742178e-01	1.137536384806e+00	-2.514274644115e-01	1.016783059470e-01	1.137519297985e+00	-2.514044122730e-01	4.614252524312e+01	1.006670383693e+02	-2.514044122730e-01
25    	19    	1  	-3 	4  	2.760890e+06	1.448900e+04	1.093762476125e-01	-8.663240641639e-01	3.970432086736e-01	1.093866198456e-01	-8.663216071617e-01	3.994498345053e-01	7.623208996673e+01	-8.445253511969e+01	3.994498345053e-01
26    	19    	2  	-3 	-4 	1.031529e+06	1.446600e+04	1.093800318244e-01	8.204345627159e-02	1.979205388929e-01	1.093911243963e-01	8.199459805462e-02	1.976776632321e-01	1.162751010727e+02	1.300098466363e+01	1.976776632321e-01
27    	19    	3  	-2 	-4 	1.377800e+04	2.050000e+02	1.093795325348e-01	4.665331185263e-01	6.731505028426e-01	1.093817372844e-01	4.664802454495e-01	6.731505028426e-01	1.042144758278e+02	5.540772996600e+01	6.731505028426e-01
28    	19    	-1 	-2 	4  	3.160150e+06	1.446800e+04	1.093788844544e-01	-1.126896052054e+00	-6.941289553945e-01	1.093887597192e-01	-1.126930152315e+00	-6.920207681510e-01	5.121304453699e+01	-1.007972182504e+02	-6.920207681510e-01
29    	6     	3  	-3 	0  	2.549300e+04	7.390000e+02	1.118266753261e-01	-8.372743865334e-02	7.230453207267e-01	1.118446261651e-01	-8.375235432358e-02	7.230453207267e-01	1.188885269504e+02	-6.311240202914e+00	7.230453207267e-01
30    	6     	0  	-3 	0  	4.043348e+06	1.449800e+04	1.118294260499e-01	-6.205839253875e-01	-2.696179762196e-01	1.118381683667e-01	-6.206454843790e-01	-2.696225172246e-01	9.749567423516e+01	-6.509797119148e+01	-2.696225172246e-01
31    	32    	2  	-3 	5  	1.764000e+03	3.200000e+01	1.149905762178e-01	-6.992749214451e-01	8.380663245058e-01	1.149591325876e-01	-6.994876458154e-01	8.380663245058e-01	9.429945179867e+01	-7.460023010705e+01	8.380663245058e-01
32    	32    	1  	-3 	-5 	4.581700e+04	7.970000e+02	1.149970829148e-01	-3.261409257788e-03	-1.411925342053e-01	1.150087700965e-01	-3.330163671367e-03	-1.411925342053e-01	1.226898808190e+02	3.163070028775e+00	-1.411925342053e-01
33    	32    	-1 	-2 	-5 	3.920000e+04	9.450000e+02	1.149976087672e-01	-1.379789470954e-01	-6.964436402510e-01	1.150047454485e-01	-1.379328954174e-01	-6.965220019725e-01	1.216420455145e+02	-1.311765659862e+01	-6.965220019725e-01
