# ID    PID     H       K       L       sum(int)      max(int)      pred tth                 pred eta                 pred ome                 meas tth                 meas eta                 meas ome                 pred X                   pred Y                   meas X                   meas Y                 
0       0       0       -1      -2      9.437960e+05  1.445000e+04  4.4130428077665380e-02   -7.3344842086067438e-02  -3.8176699187131802e-01  4.4132527042516780e-02   -7.3178283891722082e-02  -3.8186604777045624e-01  4.7705542263090464e+01   -5.1793844890321822e-02  4.7708292448307041e+01   -4.4244041161845715e-02
1       1       0       -1      4       5.616805e+06  1.444200e+04  6.0204955590300875e-02   -1.3299379201656139e+00  9.6084570265094793e-01   6.0213386815309938e-02   -1.3300699618826599e+00  9.5959163523093305e-01   1.6688923585758587e+01   -5.8219411681215099e+01  1.6682949792115934e+01   -5.8230055330686056e+01
2       1       1       -1      -4      2.656359e+06  1.440900e+04  6.0203268562482065e-02   5.9424005493322296e-01   1.0876070446963595e-01   6.0202406392712654e-02   5.9427534058141673e-01   1.0905992129412444e-01   5.3817751732873816e+01   3.8807993653454425e+01   5.3815746256836221e+01   3.8809331188666832e+01 
3       2       1       -2      0       1.180491e+06  1.447100e+04  6.4544400033894445e-02   -3.9377332680531074e-01  3.0790435584735876e-01   6.4547865455528528e-02   -3.9382135258440443e-01  3.0792597118679305e-01   6.4196122981764617e+01   -2.2662528182524991e+01  6.4198257553033912e+01   -2.2666936737774837e+01
4       2       -1      -1      0       1.779691e+06  1.446000e+04  6.4539747749342652e-02   -6.7197105815210456e-01  -8.9875193580166279e-01  6.4541879641590999e-02   -6.7217935244542892e-01  -9.0281870984015622e-01  5.4659841087649987e+01   -3.8898496744218228e+01  5.4652795927981956e+01   -3.8910979491206078e+01
5       4       1       -2      3       1.090920e+05  8.530000e+02  7.3650907803785942e-02   -7.9145565616131375e-01  6.6853902095483997e-01   7.3514842317004420e-02   -7.9315263336795438e-01  6.6721520922752486e-01   5.6040084646855590e+01   -5.1768078278940479e+01  5.5845617020398848e+01   -5.1758503972095099e+01
6       4       1       -2      -3      1.411170e+06  1.442300e+04  7.3651269653984497e-02   3.8788088563231883e-02   4.3151647118091968e-02   7.3645619482163499e-02   3.8716297420826912e-02   4.3296358420861727e-02   7.8875030908631459e+01   6.4244103886565416e+00   7.8869298570559934e+01   6.4186066248458129e+00 
7       4       -1      -1      -3      1.478886e+06  1.448200e+04  7.3649890921134040e-02   -1.7138738911977591e-01  -8.4332288404129774e-01  7.3643299948987162e-02   -1.7149408065721089e-01  -8.4327139935037609e-01  7.7828760272111722e+01   -9.8007017044700575e+00  7.7820508316392747e+01   -9.8076802912942131e+00
8       4       2       -1      -3      9.322000e+04  7.190000e+02  7.3639449034479193e-02   6.2429767937757574e-01   7.8422607766171293e-01   7.3364462767013486e-02   6.2429925979296275e-01   7.8484851352292884e-01   6.4208760856556921e+01   4.8678017983817632e+01   6.3973482050575932e+01   4.8507845843793525e+01 
9       6       0       -2      -4      1.613760e+06  1.449300e+04  8.8282360425153514e-02   -7.3378615595986685e-02  -4.0390250148399914e-01  8.8291692887388473e-02   -7.3497753082610889e-02  -4.0417626907865839e-01  9.4172202855235611e+01   -3.3613394680487767e+00  9.4181268244325693e+01   -3.3730901777763047e+00
10      7       1       -2      -6      1.821850e+06  1.444400e+04  9.5925134142233900e-02   3.2359297511792373e-01   -1.4172760503558357e-01  9.5927311648481034e-02   3.2357891951773493e-01   -1.4167560009640390e-01  9.7182673913783859e+01   3.5596549567592881e+01   9.7185315714943187e+01   3.5595942823118889e+01 
11      7       1       1       -6      9.753460e+06  1.439600e+04  9.5917297722512618e-02   1.4777202325278935e+00   9.4816755910612205e-01   9.5923328853351517e-02   1.4775207741870269e+00   9.4869256608645480e-01   1.0605464977251536e+01   1.0389994164904319e+02   1.0626121898643902e+01   1.0390447471375168e+02 
12      7       -1      -1      -6      1.622618e+06  1.444500e+04  9.5926148505345837e-02   1.5780691415987214e-01   -8.2701452452521873e-01  9.5929241636226112e-02   1.5786431760224459e-01   -8.2707363283396440e-01  1.0120691185609148e+02   1.9353195335852842e+01   1.0120922284115905e+02   1.9359445388646520e+01 
13      7       2       -1      -6      3.793909e+06  1.442200e+04  9.5913840005850542e-02   8.2903483433069103e-01   4.0848166714998180e-01   9.5926800758521766e-02   8.2897905298405727e-01   4.0883828593976984e-01   6.9540686866533065e+01   7.7901500601738860e+01   6.9554110430692290e+01   7.7907850984794507e+01 
14      11      1       -3      4       2.710790e+06  1.448900e+04  1.0938343931276498e-01   -8.6629297079940382e-01  3.9711107124394751e-01   1.0939083516309588e-01   -8.6636601647322908e-01  3.9487227324229035e-01   7.6358741315267551e+01   -8.4484094305543692e+01  7.6357435729432979e+01   -8.4495549405149433e+01
15      11      2       -3      -4      1.052515e+06  1.446700e+04  1.0938064980488066e-01   8.1998557953758891e-02   1.9789199802085175e-01   1.0938798813449252e-01   8.1972918107818371e-02   1.9763192694040491e-01   1.1637868624466762e+02   1.2953391052178061e+01   1.1638670783028103e+02   1.2951100853535033e+01 
16      11      3       -2      -4      2.122200e+04  3.970000e+02  1.0936801711963856e-01   4.6651403869433861e-01   6.7311116738618249e-01   1.0937503114526860e-01   4.6656572569334759e-01   6.7311116738618249e-01   1.0432902522115148e+02   5.5350256579490434e+01   1.0433298247945682e+02   5.5358943261115741e+01 
17      11      -1      -2      4       2.820327e+06  1.446700e+04  1.0937643221325759e-01   -1.1269102360473193e+00  -6.9383285558680752e-01  1.0938629252645013e-01   -1.1269249155214540e+00  -6.9177106397227528e-01  5.1219608941208172e+01   -1.0082958856288889e+02  5.1222621614868750e+01   -1.0083977879180334e+02
18      12      0       -3      0       3.843298e+06  1.449800e+04  1.1183356095206072e-01   -6.2056385808042036e-01  -2.6951548906560885e-01  1.1183635719346195e-01   -6.2064397931548665e-01  -2.6966999413081144e-01  9.7563822498551190e+01   -6.5131107969634783e+01  9.7560767868852366e+01   -6.5140534366078995e+01
19      12      3       -3      0       2.393200e+04  4.300000e+02  1.1182394319491502e-01   -8.3797171989090591e-02  7.2303407028546518e-01   1.1183624319312946e-01   -8.3820804355318634e-02  7.2303407028546518e-01   1.1899701879334603e+02   -6.3601085685394851e+00  1.1900983145690867e+02   -6.3639518262788703e+00
20      15      1       -1      -10     2.446932e+06  1.445300e+04  1.2401386184880853e-01   8.0182297952980797e-01   -3.3582318943823991e-01  1.2402439820012426e-01   8.0187838330391270e-01   -3.3605108356143515e-01  9.2269171420692558e+01   9.7538099575089930e+01   9.2271742885725345e+01   9.7551227843301220e+01 
21      15      -1      0       -10     1.865496e+06  1.446500e+04  1.2401840518136363e-01   6.3612113652067936e-01   -9.9526601072554099e-01  1.2401598710459764e-01   6.3608297838183947e-01   -9.9489282475675012e-01  1.0657541203917629e+02   8.1265639399006290e+01   1.0657632050668489e+02   8.1260090256311827e+01 
22      18      2       -4      0       5.835450e+05  1.230500e+04  1.2915614553403462e-01   -3.9439288822229945e-01  2.7291715359996960e-01   1.2915823194142004e-01   -3.9445924524894982e-01  2.7296739337258419e-01   1.2751074172179324e+02   -4.8888061366650277e+01  1.2750934228949369e+02   -4.8897278685122750e+01
23      18      -2      -2      0       9.132270e+05  1.098400e+04  1.2914682638569502e-01   -6.7318071558536008e-01  -9.4004695009083639e-01  1.2915944592054693e-01   -6.7319428872379694e-01  -9.3999087167487128e-01  1.0828568700833145e+02   -8.1564959298643785e+01  1.0829509550161080e+02   -8.1574790327196595e+01
24      25      0       -2      -10     6.554850e+05  1.132000e+04  1.3984926036653511e-01   3.5721370569816896e-01   -5.4438687478652625e-01  1.3984880229033006e-01   3.5722882742887985e-01   -5.4451958808010659e-01  1.3983695959819991e+02   5.5258588067863258e+01   1.3983571246404128e+02   5.5260508142362518e+01 
25      25      2       0       -10     1.466087e+06  1.443700e+04  1.3983283182398448e-01   1.1833213967725766e+00   1.4147098688653212e-01   1.3983242328097273e-01   1.1832668149967063e+00   1.4175334202097367e-01   5.6995796601586740e+01   1.4026754701183341e+02   5.7003110682954869e+01   1.4026410461402148e+02 
26      26      0       0       -12     9.950750e+05  1.042100e+04  1.4196404111432118e-01   8.9520926688338520e-01   -8.0192100991793103e-01  1.4196546085969350e-01   8.9521723389404317e-01   -8.0190120762438033e-01  9.5047054318843550e+01   1.2060473970546634e+02   9.5047068654395375e+01   1.2060667560134870e+02 
27      27      3       -4      4       1.538200e+04  2.570000e+02  1.4253121163796548e-01   -4.9733839270405078e-01  7.3304098205958690e-01   1.4254008001318835e-01   -4.9725087283474106e-01  7.2916017177865233e-01   1.3408262182964626e+02   -6.8367170775855527e+01  1.3409725768163892e+02   -6.8360079680410720e+01
28      27      1       -4      -4      3.611920e+05  4.278000e+03  1.4253842762228891e-01   -2.2148698760824562e-01  -1.5185594311183773e-01  1.4253345015869812e-01   -2.2148536257844653e-01  -1.5485585460730103e-01  1.4857610842689991e+02   -2.9534895861344094e+01  1.4857093625576650e+02   -2.9533496855102438e+01
29      27      -1      -3      -4      3.881090e+05  7.339000e+03  1.4253536309986131e-01   -3.3430964374231159e-01  -6.1529040433893423e-01  1.4254310666645939e-01   -3.3433598135261328e-01  -6.1514729830397608e-01  1.4394470525510269e+02   -4.5890686713025460e+01  1.4395126155257805e+02   -4.5897146330538739e+01
30      29      2       -4      6       6.121600e+04  8.790000e+02  1.4740193238280674e-01   -7.9347751504673436e-01  6.1602273922191653e-01   1.4741491650247709e-01   -7.9348640462969477e-01  6.1602273922191653e-01   1.1109136332059363e+02   -1.0768123009418845e+02  1.1110017931923140e+02   -1.0769212077363535e+02
31      29      2       -4      -6      6.817350e+05  1.451400e+04  1.4740265756118881e-01   3.8900651171431190e-02   6.2481064176325152e-03   1.4740948121335257e-01   3.8947444607153728e-02   6.1389617362891070e-03   1.5726806337768778e+02   9.6657515771697380e+00   1.5727508220453478e+02   9.6733454298863926e+00 
32      29      -2      -2      -6      6.774030e+05  1.206500e+04  1.4739989446410184e-01   -1.7170709602636311e-01  -8.8074709406205187e-01  1.4739767118137304e-01   -1.7178823348167313e-01  -8.8488357563587583e-01  1.5516142009722063e+02   -2.3052316873850778e+01  1.5515690192460434e+02   -2.3064387154659467e+01
33      29      4       -2      -6      6.785800e+04  1.036000e+03  1.4737896804814354e-01   6.2581032928259905e-01   7.3876281801123145e-01   1.4740513364784769e-01   6.2565694163496155e-01   7.3876281801123145e-01   1.2760691726908230e+02   9.4864453979447390e+01   1.2764369946756341e+02   9.4861602854118672e+01 
34      31      1       -3      10      9.835060e+05  1.324000e+04  1.5406497552674936e-01   -1.1236814139249582e+00  9.5912549245555911e-01   1.5407351468826327e-01   -1.1237653397261866e+00  9.6229799721269105e-01   7.2326048817721244e+01   -1.4371644374187949e+02  7.2317705403959309e+01   -1.4373067620138067e+02
35      31      2       -3      -10     6.579650e+05  8.946000e+03  1.5406351168678556e-01   4.3125739968747845e-01   -9.2362021402346187e-02  1.5406397403164201e-01   4.3128647216435734e-01   -9.2207135086168360e-02  1.4945822340918556e+02   7.1763908670423419e+01   1.4945668284685303e+02   7.1768420521093503e+01 
36      31      -2      -1      -10     5.438500e+05  7.796000e+03  1.5406692560215574e-01   2.1900411719228283e-01   -9.7674665983166220e-01  1.5406127065193970e-01   2.1900708731680693e-01   -9.8064326744612440e-01  1.6057475069411925e+02   3.9046694635539247e+01   1.6056867863713802e+02   3.9045831400868373e+01 
37      31      3       -2      -10     1.219919e+06  8.923000e+03  1.5405176329294309e-01   7.4737785640727150e-01   2.2942109200826144e-01   1.5406559546417922e-01   7.4731663807391113e-01   2.2955411424213706e-01   1.2081431462569130e+02   1.1437611451457175e+02   1.2083200833528491e+02   1.1437894385691826e+02 
38      40      2       -5      4       9.012350e+05  1.115100e+04  1.6935060344106331e-01   -6.9489233182100196e-01  3.0812315681495939e-01   1.6935724494334572e-01   -6.9496556578234914e-01  3.0826025337808866e-01   1.3967391724158193e+02   -1.1144891943945201e+02  1.3967104782533298e+02   -1.1146363103441047e+02
39      40      3       -5      -4      4.017170e+05  6.851000e+03  1.6934759216214171e-01   -9.3885371921232474e-02  1.9956280130030440e-01   1.6934129861657171e-01   -9.3863291814704888e-02  1.9959080272177551e-01   1.8029770884724769e+02   -1.3184069689252231e+01  1.8029129301012128e+02   -1.3179498261752686e+01
40      40      -3      -2      -4      4.998430e+05  6.981000e+03  1.6933984311308994e-01   -3.7679196788349439e-01  -1.0346831464901811e+00  1.6935732853308119e-01   -3.7685314676731024e-01  -1.0346143240008059e+00  1.6858685442386545e+02   -6.2455341467567919e+01  1.6860043458699820e+02   -6.2472485701160721e+01
41      40      5       -3      -4      5.682000e+04  7.970000e+02  1.6932342083778532e-01   3.9279913436369363e-01   8.2102646245504052e-01   1.6934182313352297e-01   3.9279244442275202e-01   8.2102646245504052e-01   1.6717601544420242e+02   7.2357030083489605e+01   1.6719484360302854e+02   7.2363580472925122e+01 
42      40      -2      -3      4       1.075652e+06  8.795000e+03  1.6933796557032035e-01   -9.6692555014053960e-01  -8.6553684225721561e-01  1.6935745110931166e-01   -9.6693758280441866e-01  -8.6523835281156136e-01  1.0377172086781361e+02   -1.4437961602900688e+02  1.0378195619146778e+02   -1.4439817105185841e+02
43      41      0       -1      -14     5.976100e+05  3.525000e+03  1.6983421541663316e-01   6.8687312359151886e-01   -6.8997935639654395e-01  1.6983403265077446e-01   6.8687981513355933e-01   -6.8681667178020611e-01  1.4044639796835764e+02   1.1777811096275542e+02   1.4044550242834848e+02   1.1777891532280830e+02 
