# ID    PID     H       K       L       sum(int)      max(int)      pred tth                 pred eta                 pred ome                 meas tth                 meas eta                 meas ome                 pred X                   pred Y                   meas X                   meas Y                 
0       0       0       -1      -2      9.441660e+05  1.445000e+04  4.4129982837147273e-02   -7.3349106379910184e-02  -3.8163970668653296e-01  4.4133453131738221e-02   -7.3166308300737573e-02  -3.8173913506792106e-01  4.7704890656051063e+01   -5.3810041251268197e-02  4.7709133730483714e+01   -4.5611093621037664e-02
1       1       0       -1      4       5.587697e+06  1.444200e+04  6.0206150564353911e-02   -1.3299786784936869e+00  9.6095019056333342e-01   6.0211514666161460e-02   -1.3300677567107639e+00  9.5969778722933374e-01   1.6686414806006141e+01   -5.8223115459801861e+01  1.6682302969041576e+01   -5.8229964592159149e+01
2       1       1       -1      -4      2.632728e+06  1.440900e+04  6.0205506579794482e-02   5.9425760178393727e-01   1.0895965093604179e-01   6.0202853396024089e-02   5.9431461377644446e-01   1.0925780293064137e-01   5.3818798662381653e+01   3.8808378985834871e+01   5.3814458553941989e+01   3.8809793820478696e+01 
3       2       1       -2      0       1.180804e+06  1.447100e+04  6.4544649773430010e-02   -3.9376530742341870e-01  3.0806425538750887e-01   6.4548257336670994e-02   -3.9380446816133102e-01  3.0808581695950854e-01   6.4196266251119738e+01   -2.2663975900039897e+01  6.4198769058107260e+01   -2.2667885297638566e+01
4       2       -1      -1      0       1.754190e+06  1.446000e+04  6.4542531548687637e-02   -6.7198504258071945e-01  -8.9869593269431247e-01  6.4541214257192184e-02   -6.7216368688313421e-01  -9.0276774577262675e-01  5.4661540568604330e+01   -3.8902903497117372e+01  5.4652893943947824e+01   -3.8911549735049860e+01
5       4       1       -2      3       1.109960e+05  8.530000e+02  7.3651383869147533e-02   -7.9145709450168089e-01  6.6868676494084989e-01   7.3515337929435709e-02   -7.9310217377488335e-01  6.6737508701661630e-01   5.6040037533611184e+01   -5.1770367101514267e+01  5.5848437637803073e+01   -5.1757983781632255e+01
6       4       1       -2      -3      1.411203e+06  1.442300e+04  7.3651571255791484e-02   3.8803926750244189e-02   4.3318947136252679e-02   7.3645908864699419e-02   3.8732319488901282e-02   4.3463655055049344e-02   7.8875024560389605e+01   6.4237960198577664e+00   7.8869278813051281e+01   6.4180058516812073e+00 
7       4       -1      -1      -3      1.504774e+06  1.448200e+04  7.3651061853016786e-02   -1.7140727694547148e-01  -8.4323335066497196e-01  7.3642227677229111e-02   -1.7146305302241130e-01  -8.4318100032147270e-01  7.7829681491057372e+01   -9.8042779445477528e+00  7.7819758479820081e+01   -9.8069684083811879e+00
8       4       2       -1      -3      9.191900e+04  7.190000e+02  7.3646318935164393e-02   6.2429110215661809e-01   7.8440268070399599e-01   7.3363646960326545e-02   6.2430722214488987e-01   7.8502599901707437e-01   6.4214617962488546e+01   4.8680007518728054e+01   6.3972105928271539e+01   4.8505987119208008e+01 
9       6       0       -2      -4      1.613780e+06  1.449300e+04  8.8281469292871326e-02   -7.3382882134957125e-02  -4.0377499969072472e-01  8.8292901061664125e-02   -7.3468226806845255e-02  -4.0404882607969306e-01  9.4171057131937587e+01   -3.3635195448737263e+00  9.4182562464824372e+01   -3.3722941550991248e+00
10      7       1       -2      -6      1.824039e+06  1.444400e+04  9.5925690495954188e-02   3.2361273524995832e-01   -1.4155728988340954e-01  9.5928159057821788e-02   3.2360052548350149e-01   -1.4150546696060581e-01  9.7182351385679169e+01   3.5596769684748409e+01   9.7185225734040301e+01   3.5596438488900525e+01 
11      7       1       1       -6      9.734453e+06  1.439600e+04  9.5921905883874434e-02   1.4776592598770144e+00   9.4841121176001519e-01   9.5925263780211628e-02   1.4775028642147798e+00   9.4893714433420928e-01   1.0611736284305671e+01   1.0390240262753125e+02   1.0627801969116772e+01   1.0390450823108982e+02 
12      7       -1      -1      -6      1.621348e+06  1.444500e+04  9.5926334211165296e-02   1.5779765227851406e-01   -8.2690644120013201e-01  9.5929329341757463e-02   1.5787800941924285e-01   -8.2696552583792649e-01  1.0120720479264882e+02   1.9350444746971608e+01   1.0120904316343074e+02   1.9358968363958553e+01 
13      7       2       -1      -6      3.821166e+06  1.442200e+04  9.5920548175397219e-02   8.2902684942582150e-01   4.0869340168925344e-01   9.5929692599975663e-02   8.2899255107751502e-01   4.0904118716948284e-01   6.9545758235898788e+01   7.7904351021601869e+01   6.9554851919375096e+01   7.7909175937353311e+01 
14      10      0       -1      -8      5.942270e+05  6.548000e+03  1.0168422147651358e-01   5.3750555236387010e-01   -5.8418673250089725e-01  1.0168079366457755e-01   5.3749569992031887e-01   -5.8706469871732592e-01  9.3368035699507303e+01   5.8321004869489748e+01   9.3365438125662266e+01   5.8318229718728816e+01 
15      10      1       0       -8      1.048755e+06  1.263600e+04  1.0168051497654269e-01   1.1375357838463445e+00   -2.5141257857216709e-01  1.0167918308835122e-01   1.1375191872994712e+00   -2.5136237407234635e-01  4.6212267548332555e+01   1.0061741485533784e+02   4.6213293133139565e+01   1.0061538673427341e+02 
16      11      1       -3      4       2.720090e+06  1.448900e+04  1.0938381819038767e-01   -8.6630816662571186e-01  3.9724631575821023e-01   1.0938867324055601e-01   -8.6636388365801165e-01  3.9501018824776862e-01   7.6357353997091749e+01   -8.4487385979554602e+01  7.6355814215985021e+01   -8.4495488073628920e+01
17      11      2       -3      -4      1.039305e+06  1.446700e+04  1.0938275334081136e-01   8.2020032513710608e-02   1.9806844870196694e-01   1.0938655040160028e-01   8.1996367447753210e-02   1.9780713337915054e-01   1.1638040311057223e+02   1.2954192736349230e+01   1.1638465443521930e+02   1.2951812643438112e+01 
18      11      3       -2      -4      1.931200e+04  3.970000e+02  1.0937717643556197e-01   4.6652274426989571e-01   6.7328955319886852e-01   1.0937371634975647e-01   4.6658922911136480e-01   6.7328955319886852e-01   1.0433693471412288e+02   5.5353698038285550e+01   1.0433018860621479e+02   5.5358876678621733e+01 
19      11      -1      -2      4       2.778663e+06  1.446700e+04  1.0938052141546255e-01   -1.1269210628437047e+00  -6.9383734927656981e-01  1.0938215466527806e-01   -1.1269291085620063e+00  -6.9178109860887349e-01  5.1220280233055867e+01   -1.0083587291029340e+02  5.1220207155623577e+01   -1.0083784039970271e+02
20      12      0       -3      0       3.817124e+06  1.449800e+04  1.1183354138454568e-01   -6.2058659908268687e-01  -2.6940976450201037e-01  1.1183522666963072e-01   -6.2062583175173913e-01  -2.6956321771711728e-01  9.7562038483854650e+01   -6.5135118487762185e+01  9.7560816242638239e+01   -6.5139929137743025e+01
21      12      3       -3      0       2.375500e+04  4.300000e+02  1.1182967514774801e-01   -8.3764108640261362e-02  7.2319941997657777e-01   1.1183867257729116e-01   -8.3768140857966022e-02  7.2319941997657777e-01   1.1900309272861578e+02   -6.3585715029891734e+00  1.1901259243548000e+02   -6.3598242061551522e+00
22      15      1       -1      -10     2.449194e+06  1.445300e+04  1.2401639540608653e-01   8.0184515353651376e-01   -3.3563117499571760e-01  1.2402624757857787e-01   8.0189437654993512e-01   -3.3585869652331141e-01  9.2268761442257230e+01   9.7540182342634608e+01   9.2271409131351689e+01   9.7552223576895585e+01 
23      15      -1      0       -10     1.858422e+06  1.446500e+04  1.2401869873234184e-01   6.3612840569529372e-01   -9.9513804796985383e-01  1.2401977383908425e-01   6.3608798502115194e-01   -9.9476716050285352e-01  1.0657509890095801e+02   8.1264713316476588e+01   1.0657917590056316e+02   8.1261146562905324e+01 
24      16      1       -2      -9      4.439330e+05  7.451000e+03  1.2450834619134225e-01   4.8648903963763979e-01   -2.7548102564401039e-01  1.2450772452053196e-01   4.8649686675477877e-01   -2.7537112014196502e-01  1.1749803831944867e+02   6.4963355864406708e+01   1.1749697028939829e+02   6.4963952815630108e+01 
25      16      1       1       -9      1.702798e+06  1.440900e+04  1.2450451798857537e-01   1.4305175703851229e+00   -6.4481655839232477e-01  1.2449596112764313e-01   1.4304261513808472e+00   -6.4460969235402554e-01  1.9521217781436427e+01   1.3347398313817018e+02   1.9531867278693163e+01   1.3346327735727286e+02 
26      16      -1      -1      -9      3.456130e+05  5.398000e+03  1.2450964095105568e-01   3.5060634246231909e-01   -8.2753587552500540e-01  1.2450831312915595e-01   3.5060734689788370e-01   -8.2759297786350805e-01  1.2478836962006962e+02   4.8673529966749236e+01   1.2478699432434583e+02   4.8673164254799062e+01 
27      16      2       -1      -9      7.447900e+05  7.420000e+03  1.2450352639216282e-01   9.1226779891466447e-01   1.0649549272731834e-01   1.2450713403241515e-01   9.1229078064689051e-01   1.0652367778294256e-01   8.1645491389052964e+01   1.0738976455187880e+02   8.1645446747634949e+01   1.0739465799695769e+02 
28      18      2       -4      0       6.056110e+05  1.230500e+04  1.2915664579579414e-01   -3.9438485913654237e-01  2.7307703420578211e-01   1.2915628092271625e-01   -3.9443870275644166e-01  2.7312809482228712e-01   1.2751134221577904e+02   -4.8889100743104322e+01  1.2750817547493186e+02   -4.8895739877857970e+01
29      18      -2      -2      0       9.378950e+05  1.098400e+04  1.2915240270794626e-01   -6.7319484176373445e-01  -9.3999319385797564e-01  1.2915782120429259e-01   -6.7318120961723582e-01  -9.3993721331940461e-01  1.0828913881436583e+02   -8.1571999056104758e+01  1.0829482884548294e+02   -8.1574140467707750e+01
30      21      2       -4      3       2.898410e+05  1.681000e+03  1.3394987851033929e-01   -6.1533735094280162e-01  4.3666585477588704e-01   1.3395597539413642e-01   -6.1537262292327599e-01  4.3491577441973622e-01   1.1721502045056964e+02   -7.8200353106749205e+01  1.1721747912353089e+02   -7.8208190038795507e+01
31      21      2       -4      -3      1.826320e+05  3.603000e+03  1.3395008500756808e-01   -1.6463747362313944e-01  1.2982719068269283e-01   1.3394697460664284e-01   -1.6466996033158152e-01  1.2985452237517117e-01   1.4112508185499155e+02   -1.9637248595874905e+01  1.4112105568162107e+02   -1.9641248697219812e+01
