#
# ID	PID	H	K	L	sum(int)	max(int)	pred tth          	pred eta          	 pred ome          	meas tth          	meas eta          	 meas ome          	meas X            	meas Y            	 meas ome
#
0     	1     	0  	-1 	-2 	9.444160e+05	1.445000e+04	4.412134925844e-02	-7.333856860247e-02	-3.819497765752e-01	4.412472613456e-02	-7.312637740128e-02	-3.820491093346e-01	4.770772001867e+01	-4.593461766588e-02	-3.820491093346e-01
1     	14    	0  	-1 	4  	5.560135e+06	1.444200e+04	6.019572550967e-02	-1.329994231349e+00	9.606733719301e-01	6.020176277897e-02	-1.330051731581e+00	9.594247031391e-01	1.668353856810e+01	-5.823063874618e+01	9.594247031391e-01
2     	14    	1  	-1 	-4 	2.651555e+06	1.440900e+04	6.019585101534e-02	5.942644631038e-01	1.087268213073e-01	6.019505090274e-02	5.943261615710e-01	1.090265144202e-01	5.381562568979e+01	3.880861310390e+01	1.090265144202e-01
3     	0     	1  	-2 	0  	1.185032e+06	1.447100e+04	6.453427654845e-02	-3.937514412743e-01	3.078136825146e-01	6.453684712073e-02	-3.937776867827e-01	3.078362680853e-01	6.419717512904e+01	-2.266770221016e+01	3.078362680853e-01
4     	0     	-1 	-1 	0  	1.775435e+06	1.446000e+04	6.453268294901e-02	-6.719619270010e-01	-8.990622336138e-01	6.452667644259e-02	-6.721613116569e-01	-8.987869053401e-01	5.465207277542e+01	-3.891038037825e+01	-8.987869053401e-01
5     	8     	1  	-2 	3  	2.360190e+05	7.400000e+01	7.363996350251e-02	-7.914359566303e-01	6.684284336973e-01	7.512588926114e-02	-7.919167515090e-01	6.673721508118e-01	5.712016039877e+01	-5.291253265011e+01	6.673721508118e-01
6     	8     	1  	-2 	-3 	1.417716e+06	1.442300e+04	7.363860068049e-02	3.881653240458e-02	4.306437687435e-02	7.363858947113e-02	3.872243572275e-02	4.320734280408e-02	7.887223792904e+01	6.414734366026e+00	4.320734280408e-02
7     	8     	-1 	-1 	-3 	1.488718e+06	1.448200e+04	7.363891838504e-02	-1.713955953360e-01	-8.435896347942e-01	7.362782933238e-02	-1.714221851205e-01	-8.435377691178e-01	7.781844263745e+01	-9.805556439115e+00	-8.435377691178e-01
8     	8     	2  	-1 	-3 	9.250100e+04	7.190000e+02	7.363920423473e-02	6.242463722717e-01	7.841556484354e-01	7.335205637730e-02	6.243697232623e-01	7.847755166449e-01	6.397002275575e+01	4.850733460956e+01	7.847755166449e-01
9     	4     	0  	-2 	2  	1.163230e+05	1.563000e+03	7.818226420618e-02	-9.098513126098e-01	-1.193116768534e-01	7.818375258789e-02	-9.098326422981e-01	-1.192449083281e-01	5.211660272458e+01	-6.162068952449e+01	-1.192449083281e-01
