#
# ID	PID	H	K	L	sum(int)	max(int)	pred tth          	pred eta          	 pred ome          	meas tth          	meas eta          	 meas ome          	meas X            	meas Y            	 meas ome
#
0     	1     	0  	-1 	-2 	1.143933e+06	1.403800e+04	4.412863793738e-02	-7.335993380605e-02	-3.818557246529e-01	4.412830322103e-02	-7.346508393141e-02	-3.819392505674e-01	4.757996970537e+01	-1.106212088430e-02	-3.819392505674e-01
1     	14    	0  	-1 	4  	5.749964e+06	1.444200e+04	6.020356222764e-02	-1.329985230933e+00	9.608501346835e-01	6.020232558423e-02	-1.330000013079e+00	9.599128786599e-01	1.671280267914e+01	-5.818728730490e+01	9.599128786599e-01
2     	14    	1  	-1 	-4 	2.784451e+06	1.440800e+04	6.020485540194e-02	5.942635137773e-01	1.087830644615e-01	6.020760101190e-02	5.942297051792e-01	1.092288238808e-01	5.374462949412e+01	3.886591274999e+01	1.092288238808e-01
3     	0     	1  	-2 	0  	1.196481e+06	1.447000e+04	6.454253544455e-02	-3.937400422639e-01	3.078966660453e-01	6.454346029046e-02	-3.936630261225e-01	3.079251074138e-01	6.414707278718e+01	-2.261510119891e+01	3.079251074138e-01
4     	0     	-1 	-1 	0  	1.775599e+06	1.446200e+04	6.454318426332e-02	-6.719898195439e-01	-8.989418444751e-01	6.454197683944e-02	-6.720345421875e-01	-8.986388813518e-01	5.452622118904e+01	-3.886206819745e+01	-8.986388813518e-01
5     	8     	1  	-2 	3  	2.069290e+05	6.100000e+01	7.364831512625e-02	-7.914273548814e-01	6.685347029219e-01	7.515710526436e-02	-7.922085322425e-01	6.674690120280e-01	5.711651889152e+01	-5.290850250553e+01	6.674690120280e-01
6     	8     	1  	-2 	-3 	1.336658e+06	1.442300e+04	7.364957300540e-02	3.881775274579e-02	4.313678216704e-02	7.365244718203e-02	3.881907434229e-02	4.327723746998e-02	7.879621757134e+01	6.474252987272e+00	4.327723746998e-02
7     	8     	-1 	-1 	-3 	1.260557e+06	1.448300e+04	7.365102335674e-02	-1.714352507728e-01	-8.434740085714e-01	7.365414951513e-02	-1.715624153571e-01	-8.434081930423e-01	7.769962167357e+01	-9.769930649259e+00	-8.434081930423e-01
8     	8     	2  	-1 	-3 	1.087320e+05	7.280000e+02	7.364928762672e-02	6.242893994785e-01	7.842239126811e-01	7.330726754842e-02	6.239432123519e-01	7.846394099376e-01	6.395833570673e+01	4.851050245978e+01	7.846394099376e-01
9     	4     	0  	-2 	2  	1.096790e+05	1.007000e+03	7.819344035229e-02	-9.098543465821e-01	-1.192106132918e-01	7.820116432285e-02	-9.097881377552e-01	-1.191440171073e-01	5.202121969496e+01	-6.158732006298e+01	-1.191440171073e-01
10    	4     	2  	-2 	-2 	8.264000e+03	2.960000e+02	7.819505483393e-02	1.565292794191e-01	5.469849758581e-01	7.819382655858e-02	1.564933055869e-01	5.469849758581e-01	8.269144624235e+01	1.630472156716e+01	5.469849758581e-01
11    	17    	0  	-2 	-4 	1.495375e+06	1.449400e+04	8.827877752626e-02	-7.339326133957e-02	-4.039903600705e-01	8.827843900624e-02	-7.344697039283e-02	-4.042267053419e-01	9.405145487553e+01	-3.322131083388e+00	-4.042267053419e-01
12    	45    	1  	-2 	-6 	1.818909e+06	1.444000e+04	9.592299872018e-02	3.236176017582e-01	-1.417493769511e-01	9.592378201065e-02	3.235997060745e-01	-1.416436228423e-01	9.708768051076e+01	3.565051986704e+01	-1.416436228423e-01
13    	45    	1  	1  	-6 	1.003254e+07	1.439600e+04	9.592014809468e-02	1.477631143364e+00	9.480789257952e-01	9.592444444192e-02	1.477581538672e+00	9.484370909297e-01	1.064620326956e+01	1.039813738159e+02	9.484370909297e-01
14    	45    	-1 	-1 	-6 	1.501901e+06	1.444500e+04	9.592479035320e-02	1.577645648746e-01	-8.271428816314e-01	9.592029183413e-02	1.577973185862e-01	-8.271968631569e-01	1.010728613790e+02	1.939956462757e+01	-8.271968631569e-01
15    	45    	2  	-1 	-6 	3.738795e+06	1.442200e+04	9.592161890099e-02	8.290190246136e-01	4.085243796064e-01	9.592905146872e-02	8.289679458523e-01	4.088171000678e-01	6.952318164598e+01	7.797787430804e+01	4.088171000678e-01
16    	2     	1  	-3 	1  	1.049280e+05	8.840000e+02	9.931970572679e-02	-5.949634551321e-01	1.693874674189e-01	9.932397405043e-02	-5.949545236179e-01	1.694456849812e-01	8.820237507902e+01	-5.519405021804e+01	1.694456849812e-01
17    	2     	2  	-3 	-1 	6.731600e+04	1.417000e+03	9.932065962769e-02	-1.892555990867e-01	3.879755051519e-01	9.932377842169e-02	-1.891814739980e-01	3.880058402167e-01	1.042586081147e+02	-1.616409651711e+01	3.880058402167e-01
18    	2     	3  	-2 	-1 	2.380000e+04	3.690000e+02	9.932180130523e-02	2.185680568431e-01	9.129078423476e-01	9.933188075534e-02	2.186631776733e-01	9.123686602751e-01	1.036184129393e+02	2.623576334723e+01	9.123686602751e-01
19    	2     	-1 	-2 	1  	1.674880e+05	1.899000e+03	9.932019102929e-02	-7.978758701293e-01	-6.772312515148e-01	9.933038720779e-02	-7.978740104489e-01	-6.771587239809e-01	7.457342273915e+01	-7.149704369599e+01	-6.771587239809e-01
20    	5     	2  	-3 	2  	2.040000e+03	6.700000e+01	1.014118267866e-01	-4.744810395466e-01	6.065487757640e-01	1.013880342497e-01	-4.741844476476e-01	6.021854526340e-01	9.662494534979e+01	-4.530103090691e+01	6.021854526340e-01
21    	5     	1  	-3 	-2 	8.954800e+04	1.469000e+03	1.014122638809e-01	-2.799773168445e-01	-6.092949709061e-03	1.014196989937e-01	-2.799869110099e-01	-6.092949709061e-03	1.041602260063e+02	-2.602182603756e+01	-6.092949709061e-03
22    	5     	-1 	-2 	-2 	1.030460e+05	1.475000e+03	1.014133800085e-01	-4.428683386495e-01	-6.823326618445e-01	1.014184543669e-01	-4.428558695118e-01	-6.823326618445e-01	9.799733798331e+01	-4.230335073104e+01	-6.823326618445e-01
23    	95    	0  	-1 	-8 	5.501590e+05	4.965000e+03	1.016806420223e-01	5.374912733736e-01	-5.844062303571e-01	1.016871472268e-01	5.374511456468e-01	-5.872801551425e-01	9.325201916746e+01	5.837614129866e+01	-5.872801551425e-01
24    	95    	1  	0  	-8 	9.004300e+05	1.441200e+04	1.016780179143e-01	1.137532869465e+00	-2.515922682233e-01	1.016826043229e-01	1.137523992843e+00	-2.515506183868e-01	4.610173713742e+01	1.006894379298e+02	-2.515506183868e-01
25    	19    	1  	-3 	4  	2.713283e+06	1.448900e+04	1.093788253481e-01	-8.662941589994e-01	3.970900994779e-01	1.093818740039e-01	-8.663394562678e-01	3.950261332331e-01	7.631972216634e+01	-8.446576747935e+01	3.950261332331e-01
26    	19    	2  	-3 	-4 	1.070529e+06	1.446700e+04	1.093809636628e-01	8.204240040349e-02	1.978962013501e-01	1.093865854066e-01	8.204637203501e-02	1.976258864373e-01	1.163320458105e+02	1.300827071348e+01	1.976258864373e-01
27    	19    	3  	-2 	-4 	1.830600e+04	3.080000e+02	1.093809824686e-01	4.665358315329e-01	6.731166203015e-01	1.093800494797e-01	4.667201523429e-01	6.731166203015e-01	1.043436009847e+02	5.543958536820e+01	6.731166203015e-01
28    	19    	-1 	-2 	4  	2.603219e+06	1.446700e+04	1.093786718708e-01	-1.126917848558e+00	-6.940816261542e-01	1.093825047321e-01	-1.126899776057e+00	-6.919385263827e-01	5.109052040692e+01	-1.008058836803e+02	-6.919385263827e-01
29    	6     	3  	-3 	0  	2.890000e+04	6.660000e+02	1.118310516507e-01	-8.371487176630e-02	7.230332913092e-01	1.118368842480e-01	-8.374293967452e-02	7.230332913092e-01	1.190329602456e+02	-6.310800841709e+00	7.230332913092e-01
30    	6     	0  	-3 	0  	3.849216e+06	1.449800e+04	1.118297530444e-01	-6.205918764160e-01	-2.696172027118e-01	1.118371235107e-01	-6.206198831460e-01	-2.696922252137e-01	9.746027999078e+01	-6.510803237057e+01	-2.696922252137e-01
31    	32    	2  	-3 	5  	2.856000e+03	5.600000e+01	1.149957394801e-01	-6.992268917247e-01	8.380768966916e-01	1.149843972844e-01	-6.992836376238e-01	8.380768966916e-01	9.450013492822e+01	-7.460855483914e+01	8.380768966916e-01
