# ID    PID     H       K       L       sum(int)      max(int)      pred tth                 pred eta                 pred ome                 meas tth                 meas eta                 meas ome                 pred X                   pred Y                   meas X                   meas Y                 
0       0       0       -1      -2      1.089188e+06  1.445000e+04  4.4135771697671890e-02   -7.3344075652468824e-02  -3.8171474846877418e-01  4.4132099767774789e-02   -7.3504696212423282e-02  -3.8179925974208079e-01  4.7682090206052820e+01   -3.6072966812714442e-02  4.7677714108310113e+01   -4.3229736306913208e-02
1       1       0       -1      4       5.173245e+06  1.444100e+04  6.0220388382103592e-02   -1.3298257529694160e+00  9.6112538864236219e-01   6.0228802679794156e-02   -1.3297090325747141e+00  9.5984747964634742e-01   1.6603366218163593e+01   -5.8217981188570107e+01  1.6612675372533175e+01   -5.8224802633179372e+01
2       1       1       -1      -4      2.683130e+06  1.440900e+04  6.0213340075820208e-02   5.9428322980019477e-01   1.0887123516056382e-01   6.0222531366010155e-02   5.9399911040456077e-01   1.0918995372318389e-01   5.3755577420926151e+01   3.8829556256822855e+01   5.3773677389192123e+01   3.8820113266552696e+01 
3       2       1       -2      0       1.115592e+06  1.446900e+04  6.4558534655734925e-02   -3.9377596059882775e-01  3.0813282089517885e-01   6.4572138692106484e-02   -3.9372722502162583e-01  3.0816503368381354e-01   6.4127940537121788e+01   -2.2651299220521807e+01  6.4142463705111155e+01   -2.2653713867860930e+01
4       2       -1      -1      0       1.875809e+06  1.446000e+04  6.4551541978804222e-02   -6.7199420469858895e-01  -8.9875277319845870e-01  6.4544171113908338e-02   -6.7229452438840331e-01  -9.0280502902956172e-01  5.4688233709555767e+01   -3.8887797819227487e+01  5.4669835496590274e+01   -3.8898958947583836e+01
5       4       1       -2      3       1.308650e+05  7.140000e+02  7.3672916660681154e-02   -7.9138704000580962e-01  6.6879014808166670e-01   7.3481862818285212e-02   -7.9087913372271335e-01  6.6764197710161699e-01   5.5965694601831430e+01   -5.1763844072411999e+01  5.5851433595450430e+01   -5.1592964692984502e+01
6       4       1       -2      -3      1.458376e+06  1.442300e+04  7.3661921050392251e-02   3.8795099147132001e-02   4.3303895638575077e-02   7.3664767864192862e-02   3.8485732702336198e-02   4.3434381611786428e-02   7.8819588495921124e+01   6.4409158680402161e+00   7.8823565983230523e+01   6.4170812029085189e+00 
7       4       -1      -1      -3      1.526922e+06  1.448200e+04  7.3663606598772510e-02   -1.7138278410350230e-01  -8.4335892576597049e-01  7.3640670225893892e-02   -1.7164509653556190e-01  -8.4330714902047055e-01  7.7855364123307481e+01   -9.7857190766639981e+00  7.7828063811197993e+01   -9.8016781319592940e+00
8       4       2       -1      -3      1.047870e+05  8.280000e+02  7.3658176900816552e-02   6.2427267359024119e-01   7.8437496723046496e-01   7.3370656276062818e-02   6.2471040475988060e-01   7.8524303480841662e-01   6.4129612378884545e+01   4.8703156161540946e+01   6.3863855466360938e+01   4.8552506517366190e+01 
9       6       0       -2      -4      1.646941e+06  1.449300e+04  8.8293055482218163e-02   -7.3377859211210233e-02  -4.0385293977705167e-01  8.8297303575495714e-02   -7.3573899734214215e-02  -4.0412314168433378e-01  9.4152331046171227e+01   -3.3456859100755647e+00  9.4155543833497418e+01   -3.3641860644744601e+00
10      7       1       -2      -6      1.873264e+06  1.444300e+04  9.5938037342351651e-02   3.2362975367969543e-01   -1.4164445733335851e-01  9.5950830698827344e-02   3.2351311624002588e-01   -1.4158657050778217e-01  9.7140328776650833e+01   3.5617596259504651e+01   9.7156945376538616e+01   3.5610769068224457e+01 
11      7       1       1       -6      9.903457e+06  1.439500e+04  9.5938216634653309e-02   1.4778054106378256e+00   9.4778136610319663e-01   9.5928604171180404e-02   1.4772478395622202e+00   9.4825212768989886e-01   1.0502456505547098e+01   1.0393874995576643e+02   1.0557662782583327e+01   1.0392346404917073e+02 
12      7       -1      -1      -6      1.676412e+06  1.444500e+04  9.5945336282890148e-02   1.5782273332529070e-01   -8.2707386282932771e-01  9.5928435752915792e-02   1.5779528388245892e-01   -8.2713613682236042e-01  1.0123532843853573e+02   1.9372452380986878e+01   1.0121809195205419e+02   1.9366857663818088e+01 
13      7       2       -1      -6      3.883811e+06  1.442200e+04  9.5933380724615380e-02   8.2905925342573061e-01   4.0860285449197947e-01   9.5946369169212481e-02   8.2879308005612329e-01   4.0904685995401785e-01   6.9465952704838131e+01   7.7930776327561659e+01   6.9495085552053595e+01   7.7922813672948038e+01 
14      10      0       -1      -8      6.278420e+05  8.125000e+03  1.0170268215670897e-01   5.3752619597605344e-01   -5.8438852237436056e-01  1.0168933118507652e-01   5.3742802113929389e-01   -5.8770767163526627e-01  9.3369698508002045e+01   5.8345626141864074e+01   9.3363247392043888e+01   5.8329319418780933e+01 
15      10      1       0       -8      1.110215e+06  1.441000e+04  1.0169785875798817e-01   1.1375734174770677e+00   -2.5178453437115572e-01  1.0169393146089942e-01   1.1375525567466345e+00   -2.5176110668446638e-01  4.6175875670528917e+01   1.0064522006794196e+02   4.6176163816757274e+01   1.0064049823013136e+02 
16      11      1       -3      4       2.610635e+06  1.448900e+04  1.0941160311379353e-01   -8.6625884311732004e-01  3.9738910575956921e-01   1.0941819606581943e-01   -8.6629182638502644e-01  3.9526201174431397e-01   7.6294470055694759e+01   -8.4484538616201320e+01  7.6296215167290782e+01   -8.4492327490467304e+01
17      11      2       -3      -4      1.057267e+06  1.446700e+04  1.0939994876131560e-01   8.2004456643628931e-02   1.9806842786280496e-01   1.0941327246587371e-01   8.2009763354434245e-02   1.9778018697628566e-01   1.1632009307661038e+02   1.2970913905217621e+01   1.1633416928571077e+02   1.2972716563987376e+01 
18      11      3       -2      -4      1.681400e+04  3.430000e+02  1.0939626304902814e-01   4.6649436679385048e-01   6.7327419624403406e-01   1.0941959134518948e-01   4.6629739094245659e-01   6.7327419624403406e-01   1.0426107509892755e+02   5.5376291697469576e+01   1.0429346298654663e+02   5.5367218930334595e+01 
19      11      -1      -2      4       3.009730e+06  1.446700e+04  1.0939769391579406e-01   -1.1269690597862778e+00  -6.9370489581196548e-01  1.0940518856966189e-01   -1.1270254592999478e+00  -6.9581938371778362e-01  5.1223513746815797e+01   -1.0082750257696344e+02  5.1221271053376924e+01   -1.0083750262470213e+02
20      12      0       -3      0       3.995411e+06  1.449700e+04  1.1185040963800602e-01   -6.2061151856919095e-01  -2.6937438177812045e-01  1.1186208176660312e-01   -6.2068765448472707e-01  -2.6945178648487206e-01  9.7531697606503130e+01   -6.5124457452293427e+01  9.7536613748459288e+01   -6.5138973365603533e+01
21      12      3       -3      0       2.327600e+04  5.700000e+02  1.1185971050188566e-01   -8.3794154649743699e-02  7.2322120045853788e-01   1.1185832921635522e-01   -8.3757055387621904e-02  7.2322120045853799e-01   1.1893828466104827e+02   -6.3469700192085128e+00  1.1893717631879194e+02   -6.3424879879874592e+00
22      15      1       -1      -10     2.630053e+06  1.445200e+04  1.2403635984479695e-01   8.0187798873096316e-01   -3.3585601777075497e-01  1.2403739180288310e-01   8.0186156122301366e-01   -3.3609571699068191e-01  9.2243475257087894e+01   9.7567916210429985e+01   9.2245807645502680e+01   9.7567215926637800e+01 
23      15      -1      0       -10     1.852501e+06  1.446500e+04  1.2405063980195896e-01   6.3610955844915429e-01   -9.9538383445084866e-01  1.2402246265211821e-01   6.3614819778764742e-01   -9.9497578093167038e-01  1.0662809761695894e+02   8.1294114396350807e+01   1.0660091494448149e+02   8.1280267241632899e+01 
24      16      1       -2      -9      4.529330e+05  6.140000e+03  1.2452572733288057e-01   4.8651721592828945e-01   -2.7562083805534687e-01  1.2452565696465395e-01   4.8642581231380921e-01   -2.7552224897282857e-01  1.1746824308278643e+02   6.4987684791008377e+01   1.1747381118368534e+02   6.4977041085082632e+01 
25      16      1       1       -9      1.756480e+06  1.440400e+04  1.2452775069034713e-01   1.4305373423183836e+00   -6.4590765067373024e-01  1.2451012383303264e-01   1.4305025193822543e+00   -6.4175555801171957e-01  1.9520700477657439e+01   1.3350468996939614e+02   1.9522278144375168e+01   1.3348542235551835e+02 
26      16      -1      -1      -9      3.730510e+05  5.556000e+03  1.2453598701912942e-01   3.5062408401043610e-01   -8.2773218183520181e-01  1.2451151358484339e-01   3.5062738003285299e-01   -8.2778799666474601e-01  1.2482052197423943e+02   4.8699089373190596e+01   1.2479587993950787e+02   4.8690472273920506e+01 
27      16      2       -1      -9      7.560440e+05  6.382000e+03  1.2452076317285792e-01   9.1231635771745312e-01   1.0632563678031760e-01   1.2452635066201120e-01   9.1220506243735189e-01   1.0635425066532757e-01   8.1580814643074049e+01   1.0741883374248667e+02   8.1596039439480933e+01   1.0741462560787551e+02 
28      18      2       -4      0       5.883130e+05  1.173000e+04  1.2918445908544379e-01   -3.9439580600501395e-01  2.7313790061721421e-01   1.2919325232421466e-01   -3.9439889675943202e-01  2.7318806697024606e-01   1.2745492258230094e+02   -4.8881360220000609e+01  1.2746343884185153e+02   -4.8885339133421922e+01
29      18      -2      -2      0       1.005300e+06  1.196700e+04  1.2917045180924050e-01   -6.7320437131219057e-01  -9.4005611841339654e-01  1.2917095948193674e-01   -6.7332204997305112e-01  -9.3999212040329838e-01  1.0832224157629786e+02   -8.1559805819665485e+01  1.0831268120607682e+02   -8.1572719366174283e+01
30      21      2       -4      3       3.056920e+05  1.997000e+03  1.3398494151395443e-01   -6.1531482556304429e-01  4.3675445943225022e-01   1.3399058181723758e-01   -6.1533688977487799e-01  4.3515490352879599e-01   1.1715773388916647e+02   -7.8198244847835255e+01  1.1716092624376493e+02   -7.8204261235634561e+01
