#
# ID	PID	H	K	L	sum(int)	max(int)	pred tth          	pred eta          	 pred ome          	meas tth          	meas eta          	 meas ome          	meas X            	meas Y            	 meas ome
#
0     	1     	0  	-1 	-2 	1.045915e+06	1.445000e+04	4.412756850980e-02	-7.335089042274e-02	-3.819006656419e-01	4.412678265698e-02	-7.313710034342e-02	-3.819822739247e-01	4.769471880831e+01	-3.982515382837e-02	-3.819822739247e-01
1     	14    	0  	-1 	4  	5.408552e+06	1.444200e+04	6.020163937727e-02	-1.329974615835e+00	9.608175901440e-01	6.020590660907e-02	-1.329954333321e+00	9.598164185980e-01	1.665473447379e+01	-5.822708891379e+01	9.598164185980e-01
2     	14    	1  	-1 	-4 	2.735699e+06	1.440900e+04	6.020217993123e-02	5.942827291755e-01	1.087371846017e-01	6.020499035004e-02	5.942950699299e-01	1.090317397235e-01	5.379631972866e+01	3.881871502027e+01	1.090317397235e-01
3     	0     	1  	-2 	0  	1.169251e+06	1.447000e+04	6.453942554458e-02	-3.937352003778e-01	3.078634240485e-01	6.454514155830e-02	-3.937326263487e-01	3.078887549975e-01	6.417342436003e+01	-2.266115929440e+01	3.078887549975e-01
4     	0     	-1 	-1 	0  	1.820732e+06	1.446000e+04	6.454198443902e-02	-6.719750757724e-01	-8.989570984805e-01	6.453889499437e-02	-6.721347487364e-01	-8.986583022521e-01	5.466625303952e+01	-3.890882871829e+01	-8.986583022521e-01
5     	8     	1  	-2 	3  	2.427300e+05	6.200000e+01	7.364529105474e-02	-7.914253494284e-01	6.685144471363e-01	7.514223823194e-02	-7.918430441876e-01	6.675025041862e-01	5.710017701694e+01	-5.291380031663e+01	6.675025041862e-01
6     	8     	1  	-2 	-3 	1.418408e+06	1.442300e+04	7.364629537441e-02	3.882911921330e-02	4.309337620847e-02	7.363907126387e-02	3.871995237420e-02	4.323356839930e-02	7.884457682926e+01	6.421119720171e+00	4.323356839930e-02
7     	8     	-1 	-1 	-3 	1.495883e+06	1.448200e+04	7.365022044969e-02	-1.714272114195e-01	-8.435025584336e-01	7.364496303545e-02	-1.715016935288e-01	-8.434504073935e-01	7.783539436922e+01	-9.807536813878e+00	-8.434504073935e-01
8     	8     	2  	-1 	-3 	1.082640e+05	6.540000e+02	7.364567139870e-02	6.243116309013e-01	7.842151311215e-01	7.331295782925e-02	6.245563247181e-01	7.842315745915e-01	6.389173434343e+01	4.850138233473e+01	7.842315745915e-01
9     	4     	0  	-2 	2  	1.211150e+05	1.655000e+03	7.819087133963e-02	-9.098445318464e-01	-1.192435299721e-01	7.819859762611e-02	-9.098119546069e-01	-1.192007307493e-01	5.210427970793e+01	-6.162357749741e+01	-1.192007307493e-01
10    	4     	2  	-2 	-2 	6.824000e+03	2.330000e+02	7.819064469780e-02	1.565441949531e-01	5.469621429537e-01	7.820823179494e-02	1.566066864704e-01	5.469621429537e-01	8.269339321602e+01	1.626983686489e+01	5.469621429537e-01
11    	17    	0  	-2 	-4 	1.658735e+06	1.449300e+04	8.827663710701e-02	-7.338420920818e-02	-4.040347494000e-01	8.829230248727e-02	-7.344038194550e-02	-4.043232035078e-01	9.417967189069e+01	-3.366347726904e+00	-4.043232035078e-01
12    	45    	1  	-2 	-6 	1.847136e+06	1.444400e+04	9.591940380870e-02	3.236294583238e-01	-1.417983379976e-01	9.593126472496e-02	3.236314594886e-01	-1.417517930118e-01	9.717822855017e+01	3.560813806494e+01	-1.417517930118e-01
13    	45    	1  	1  	-6 	9.928692e+06	1.439600e+04	9.591699904686e-02	1.477641341386e+00	9.481722072405e-01	9.591572936004e-02	1.477620822130e+00	9.484585562921e-01	1.058196382954e+01	1.039146252271e+02	9.484585562921e-01
14    	45    	-1 	-1 	-6 	1.709683e+06	1.444500e+04	9.592371173045e-02	1.577658128284e-01	-8.271778938653e-01	9.592298323336e-02	1.579023552942e-01	-8.272227295809e-01	1.012172643484e+02	1.936583115687e+01	-8.272227295809e-01
15    	45    	2  	-1 	-6 	3.955309e+06	1.442200e+04	9.591724621274e-02	8.290446496360e-01	4.084949982392e-01	9.591528928600e-02	8.290521484773e-01	4.089755804588e-01	6.951790012376e+01	7.791772614657e+01	4.089755804588e-01
16    	2     	1  	-3 	1  	1.090980e+05	1.389000e+03	9.931551663546e-02	-5.949587205574e-01	1.693528436594e-01	9.932758246320e-02	-5.949492053372e-01	1.694178347691e-01	8.824921634214e+01	-5.523255546133e+01	1.694178347691e-01
