# ID    PID     H       K       L       sum(int)      max(int)      pred tth                 pred eta                 pred ome                 meas tth                 meas eta                 meas ome                 pred X                   pred Y                   meas X                   meas Y                 
0       0       0       -1      -2      9.427760e+05  1.445000e+04  4.4129500913484505e-02   -7.3344540720437959e-02  -3.8172147377290971e-01  4.4132881325389665e-02   -7.3153388238920897e-02  -3.8182089601899821e-01  4.7704591728281599e+01   -5.4238066100016670e-02  4.7708767807039436e+01   -4.5645931835538084e-02
1       1       0       -1      4       5.590422e+06  1.444200e+04  6.0206392748683155e-02   -1.3299804994635098e+00  9.6082229541949771e-01   6.0211358937318209e-02   -1.3300691021885571e+00  9.5956970488725890e-01   1.6686658576509195e+01   -5.8224058958022880e+01  1.6682475114328959e+01   -5.8230493618439709e+01
2       1       1       -1      -4      2.632640e+06  1.440900e+04  6.0205627036795981e-02   5.9426237735761389e-01   1.0890533342135203e-01   6.0202974629066465e-02   5.9432166946299769e-01   1.0920343571593295e-01   5.3819023309291303e+01   3.8808031070399927e+01   5.3814602804251635e+01   3.8809565767855865e+01 
3       2       1       -2      0       1.179340e+06  1.447100e+04  6.4545197843488680e-02   -3.9376103719833627e-01  3.0799660393288758e-01   6.4547756255773733e-02   -3.9379464448162232e-01  3.0801817377182106e-01   6.4197221778252242e+01   -2.2664604949996928e+01  6.4198845621099608e+01   -2.2667743611865728e+01
4       2       -1      -1      0       1.773894e+06  1.446000e+04  6.4542731913517379e-02   -6.7197926864888691e-01  -8.9880047865703638e-01  6.4539909707030399e-02   -6.7216583614897718e-01  -9.0287047006978305e-01  5.4661993649975898e+01   -3.8903414753547281e+01  5.4651767566778098e+01   -3.8911497266907631e+01
5       4       1       -2      3       1.111450e+05  8.530000e+02  7.3652297115374271e-02   -7.9144851124895699e-01  6.6860587754228062e-01   7.3516020292384451e-02   -7.9308703340145525e-01  6.6730039418842269e-01   5.6041504311341164e+01   -5.1771256046381772e+01  5.5850092307174393e+01   -5.1758345334498991e+01
6       4       1       -2      -3      1.409608e+06  1.442300e+04  7.3651478300369347e-02   3.8807960731264815e-02   4.3254515936460201e-02   7.3647274041217625e-02   3.8759630232746110e-02   4.3399170916078998e-02   7.8875197760704083e+01   6.4234304961692326e+00   7.8870916449780140e+01   6.4195058011619164e+00 
7       4       -1      -1      -3      1.492131e+06  1.448200e+04  7.3650799371409781e-02   -1.7140216244620857e-01  -8.4333365172483377e-01  7.3640574211609411e-02   -1.7143846854912603e-01  -8.4328222342270276e-01  7.7829543305798722e+01   -9.8045192119795583e+00  7.7818426277009991e+01   -9.8054752419771756e+00
8       4       2       -1      -3      9.232100e+04  7.190000e+02  7.3648002939915608e-02   6.2427677304327522e-01   7.8434132088357345e-01   7.3362782055396397e-02   6.2431198918114417e-01   7.8495975096075910e-01   6.4217017257709941e+01   4.8679473605623976e+01   6.3971458135984278e+01   4.8505072541314547e+01 
9       6       0       -2      -4      1.614304e+06  1.449300e+04  8.8280504740658836e-02   -7.3378312168207602e-02  -4.0385651738154027e-01  8.8292013459333005e-02   -7.3463789086224585e-02  -4.0412998459569344e-01  9.4170266888828394e+01   -3.3636994376846214e+00  9.4181852578955457e+01   -3.3724919668152711e+00
