#
# ID	PID	H	K	L	sum(int)	max(int)	pred tth          	pred eta          	 pred ome          	meas tth          	meas eta          	 meas ome          	meas X            	meas Y            	 meas ome
#
0     	1     	0  	-1 	-2 	9.464560e+05	1.445000e+04	4.412138581816e-02	-7.333781761013e-02	-3.818502677940e-01	4.412510190641e-02	-7.312294885217e-02	-3.819496077388e-01	4.770810893804e+01	-4.592946577435e-02	-3.819496077388e-01
1     	14    	0  	-1 	4  	5.560181e+06	1.444200e+04	6.019570209701e-02	-1.329994928387e+00	9.607683167476e-01	6.020171827694e-02	-1.330052278518e+00	9.595196418073e-01	1.668327294066e+01	-5.823072553800e+01	9.595196418073e-01
2     	14    	1  	-1 	-4 	2.650815e+06	1.440900e+04	6.019585556857e-02	5.942654909429e-01	1.088291659051e-01	6.019503254602e-02	5.943261816269e-01	1.091289393881e-01	5.381548726349e+01	3.880847028721e+01	1.091289393881e-01
3     	0     	1  	-2 	0  	1.185185e+06	1.447100e+04	6.453425591872e-02	-3.937504577151e-01	3.079143819584e-01	6.453682334276e-02	-3.937765698481e-01	3.079371081941e-01	6.419702257485e+01	-2.266774486777e+01	3.079371081941e-01
4     	0     	-1 	-1 	0  	1.777225e+06	1.446000e+04	6.453283893495e-02	-6.719598693093e-01	-8.989630003365e-01	6.452645206079e-02	-6.721616746152e-01	-8.986880181139e-01	5.465196681739e+01	-3.891037067405e+01	-8.986880181139e-01
5     	8     	1  	-2 	3  	2.360260e+05	7.400000e+01	7.363992981213e-02	-7.914353041116e-01	6.685288221325e-01	7.512585778920e-02	-7.919157676854e-01	6.674725520874e-01	5.711998856612e+01	-5.291257517310e+01	6.674725520874e-01
6     	8     	1  	-2 	-3 	1.417696e+06	1.442300e+04	7.363859481961e-02	3.881755981110e-02	4.316519942152e-02	7.363859106151e-02	3.872357172169e-02	4.330816736813e-02	7.887212217905e+01	6.414695395427e+00	4.330816736813e-02
7     	8     	-1 	-1 	-3 	1.488072e+06	1.448200e+04	7.363909770944e-02	-1.713949569249e-01	-8.434902382379e-01	7.362781500919e-02	-1.714198391461e-01	-8.434382708762e-01	7.781853728407e+01	-9.805498120327e+00	-8.434382708762e-01
8     	8     	2  	-1 	-3 	9.241200e+04	7.190000e+02	7.363932183183e-02	6.242463694028e-01	7.842597448015e-01	7.335250035604e-02	6.243804683404e-01	7.848769520901e-01	6.396970224193e+01	4.850815145201e+01	7.848769520901e-01
9     	4     	0  	-2 	2  	1.163660e+05	1.563000e+03	7.818227581046e-02	-9.098502241054e-01	-1.192137267158e-01	7.818358225263e-02	-9.098314758321e-01	-1.191469828630e-01	5.211649209121e+01	-6.162060159196e+01	-1.191469828630e-01
