# ID    PID     H       K       L       sum(int)      max(int)      pred tth                 pred eta                 pred ome                 meas tth                 meas eta                 meas ome                 pred X                   pred Y                   meas X                   meas Y                 
0       0       0       -1      -2      9.429560e+05  1.445000e+04  4.4129863588655373e-02   -7.3347975490046763e-02  -3.8172870033774642e-01  4.4132952031356809e-02   -7.3164306336282112e-02  -3.8182790463209709e-01  4.7705127239083708e+01   -5.3014581939802477e-02  4.7708972272868280e+01   -4.4746892599751523e-02
1       1       0       -1      4       5.618637e+06  1.444200e+04  6.0205422195207713e-02   -1.3299722955985647e+00  9.6086218994962824e-01   6.0211776514935741e-02   -1.3300911072807686e+00  9.5960667151802770e-01   1.6687238003965170e+01   -5.8221524757524769e+01  1.6681550205627214e+01   -5.8229840872628479e+01
2       1       1       -1      -4      2.633041e+06  1.440900e+04  6.0204739328657074e-02   5.9425193045053082e-01   1.0885765360223640e-01   6.0202075760907046e-02   5.9430986331027913e-01   1.0915577015432890e-01   5.3818905279506076e+01   3.8808375172500348e+01   5.3814523487561978e+01   3.8809832068912179e+01 
3       2       1       -2      0       1.179902e+06  1.447100e+04  6.4544255234573772e-02   -3.9376639650564621e-01  3.0796727452267780e-01   6.4547794109584014e-02   -3.9381034684090999e-01  3.0798887846412837e-01   6.4196478958670554e+01   -2.2663154482864840e+01  6.4198790742434582e+01   -2.2667336811540068e+01
4       2       -1      -1      0       1.765370e+06  1.446000e+04  6.4541597561868294e-02   -6.7198012548059627e-01  -8.9877180229602127e-01  6.4541258867593029e-02   -6.7215630067345034e-01  -9.0284079260346317e-01  5.4661021732000897e+01   -3.8901321014398057e+01  5.4653285816720818e+01   -3.8910476598608675e+01
5       4       1       -2      3       1.100560e+05  8.530000e+02  7.3650767100000930e-02   -7.9145674238201125e-01  6.6859146980063977e-01   7.3515011760195967e-02   -7.9312144673470863e-01  6.6727473388625902e-01   5.6040247308348121e+01   -5.1769148533037615e+01  5.5847784928949913e+01   -5.1758050652474928e+01
6       4       1       -2      -3      1.411170e+06  1.442300e+04  7.3651182283381939e-02   3.8800276859234782e-02   4.3221778763771784e-02   7.3645532111560941e-02   3.8728485716829811e-02   4.3366490066541544e-02   7.8875187217389410e+01   6.4242339463387523e+00   7.8869454971938964e+01   6.4184301181969019e+00 
7       4       -1      -1      -3      1.504418e+06  1.448200e+04  7.3650444311844490e-02   -1.7140239759136403e-01  -8.4331475215672647e-01  7.3641724639222320e-02   -1.7145670272173485e-01  -8.4326237202319487e-01  7.7829198915377930e+01   -9.8030680521049067e+00  7.7819414328700219e+01   -9.8056665279737736e+00
8       4       2       -1      -3      9.202400e+04  7.190000e+02  7.3644547909423236e-02   6.2428976893207611e-01   7.8430394666831904e-01   7.3362979164408496e-02   6.2432001415968008e-01   7.8492171743529926e-01   6.4213802588976264e+01   4.8679559465286609e+01   6.3971594608832895e+01   4.8507105788123461e+01 
9       6       0       -2      -4      1.614010e+06  1.449300e+04  8.8281230621466963e-02   -7.3381750178429919e-02  -4.0386393162889545e-01  8.8292643004103333e-02   -7.3469329059263733e-02  -4.0413786498088111e-01  9.4171183554710950e+01   -3.3626641640777040e+00  9.4182653526559591e+01   -3.3716444962881775e+00
