# ID    PID     H       K       L       sum(int)      max(int)      pred tth                 pred eta                 pred ome                 meas tth                 meas eta                 meas ome                 pred X                   pred Y                   meas X                   meas Y                 
0       0       0       -1      -2      1.070756e+06  1.444900e+04  4.4136050064561290e-02   -7.3375030564837643e-02  -3.8165345782826654e-01  4.4148815601887964e-02   -7.3356355325015402e-02  -3.8173313616503107e-01  4.7568033952440892e+01   -1.0479985739199035e-01  4.7581499585707348e+01   -1.0488933957721608e-01
1       1       0       -1      4       5.617589e+06  1.444200e+04  6.0216983929617093e-02   -1.3299929711472500e+00  9.6074055274866199e-01   6.0223007887577222e-02   -1.3297931964461815e+00  9.5967619062614251e-01   1.6585051792555962e+01   -5.8290743604833764e+01  1.6598736544060568e+01   -5.8293853387543258e+01
2       1       1       -1      -4      2.656802e+06  1.440800e+04  6.0213932128357010e-02   5.9426141535321009e-01   1.0910383976931340e-01   6.0214858183485230e-02   5.9422216457245591e-01   1.0518339655980861e-01   5.3667168718568298e+01   3.8764012798784314e+01   5.3669328197111085e+01   3.8762483998867495e+01 
3       2       1       -2      0       1.017777e+06  1.447000e+04  6.4557293748975411e-02   -3.9378154115825509e-01  3.0814552131936895e-01   6.4561102482832061e-02   -3.9387596280277626e-01  3.0817176272674862e-01   6.4054240123510283e+01   -2.2720367093394884e+01  6.4055508038929744e+01   -2.2727827027182133e+01
4       2       -1      -1      0       1.991793e+06  1.446100e+04  6.4558157660167259e-02   -6.7195256697055583e-01  -8.9880195159663845e-01  6.4557666434085961e-02   -6.7216399257637982e-01  -9.0291078900210997e-01  5.4584736417351436e+01   -3.8955508198603262e+01  5.4575926914172854e+01   -3.8966426890979911e+01
5       4       1       -2      3       9.799200e+04  1.003000e+03  7.3667577155788658e-02   -7.9143545400124027e-01  6.6872625019816567e-01   7.3602523739174461e-02   -7.9159502217791511e-01  6.6805179457474839e-01   5.5922803188318149e+01   -5.1835157839731828e+01  5.5865567086443185e+01   -5.1795096178661844e+01
6       4       1       -2      -3      1.419324e+06  1.442300e+04  7.3662055759940032e-02   3.8781453605774854e-02   4.3401605431553032e-02   7.3676861783793249e-02   3.8837035177606435e-02   4.3535211305355759e-02   7.8726902838219161e+01   6.3729177240682517e+00   7.8742348185766545e+01   6.3778653970375041e+00 
7       4       -1      -1      -3      1.377304e+06  1.447700e+04  7.3666549549824240e-02   -1.7141930388089185e-01  -8.4332112069580090e-01  7.3663712006600143e-02   -1.7143063633194691e-01  -8.4323522307018861e-01  7.7744591391847266e+01   -9.8558520276633050e+00  7.7741480226757133e+01   -9.8562136595744114e+00
8       4       2       -1      -3      8.865600e+04  7.810000e+02  7.3665393969692433e-02   6.2421914539001466e-01   7.8456758587123610e-01   7.3421752583812505e-02   6.2441059113134889e-01   7.8461424295397419e-01   6.4115886114407445e+01   4.8642212459725393e+01   6.3898788734565521e+01   4.8503333946019701e+01 
9       6       0       -2      -4      1.626684e+06  1.449400e+04  8.8293612623265072e-02   -7.3408837397979557e-02  -4.0379183928897622e-01  8.8289637476838836e-02   -7.3483041081303102e-02  -4.0404126760728154e-01  9.4038646802912154e+01   -3.4159233811723659e+00  9.4033974728557638e+01   -3.4225054788664275e+00
10      7       1       -2      -6      1.822268e+06  1.444000e+04  9.5936752235477304e-02   3.2361067551883471e-01   -1.4148816480427689e-01  9.5938841342109393e-02   3.2365015641201622e-01   -1.4141426021482736e-01  9.7036142253972969e+01   3.5549522805372554e+01   9.7036960655307297e+01   3.5554012411622942e+01 
11      7       1       1       -6      9.779159e+06  1.439600e+04  9.5940076803805119e-02   1.4775676814550693e+00   9.4916461579330247e-01   9.5932249051746493e-02   1.4773878239324243e+00   9.4949223271871974e-01   1.0517381359642728e+01   1.0388276359320663e+02   1.0534774313733850e+01   1.0387284053333016e+02 
12      7       -1      -1      -6      1.660217e+06  1.443800e+04  9.5943075589221410e-02   1.5778112116711157e-01   -8.2698291433289361e-01  9.5938548686791025e-02   1.5773269563289191e-01   -8.2696518473619940e-01  1.0111907304113123e+02   1.9300137848978945e+01   1.0111511461573505e+02   1.9294541526235960e+01 
13      7       2       -1      -6      3.560715e+06  1.442100e+04  9.5938567298239102e-02   8.2899841628161353e-01   4.0890324429389852e-01   9.5938291020928379e-02   8.2886670015045694e-01   4.0917449413878582e-01   6.9411882899775406e+01   7.7870354226142211e+01   6.9421535762486130e+01   7.7861165558823359e+01 
14      10      0       -1      -8      5.814130e+05  6.899000e+03  1.0169615679435140e-01   5.3752228181127149e-01   -5.8420427083219306e-01  1.0170467874274342e-01   5.3748561834058217e-01   -5.8694426241829512e-01  9.3247237225007098e+01   5.8274150773865870e+01   9.3257245276301987e+01   5.8275410660854476e+01 
15      10      1       0       -8      1.002113e+06  1.441300e+04  1.0169531284472169e-01   1.1375884862898389e+00   -2.5125160580070516e-01  1.0169661582635704e-01   1.1374583206160496e+00   -2.5122621255613686e-01  4.6062844860487353e+01   1.0057926007967956e+02   4.6076095989466900e+01   1.0057468389021581e+02 
16      11      1       -3      4       2.790142e+06  1.448900e+04  1.0940605764919570e-01   -8.6630350227197372e-01  3.9726551116368780e-01   1.0941687750179317e-01   -8.6627025767756161e-01  3.9511580814112190e-01   7.6223901146768696e+01   -8.4558281495852171e+01  7.6234164776332094e+01   -8.4564511662738951e+01
17      11      2       -3      -4      9.283250e+05  1.446700e+04  1.0940101152005235e-01   8.1998019045848108e-02   1.9817805530002161e-01   1.0940105107603654e-01   8.1993374118544474e-02   1.9790344548786593e-01   1.1624318216827599e+02   1.2903880103413943e+01   1.1624325983278574e+02   1.2903349234374421e+01 
18      11      3       -2      -4      1.852600e+04  4.210000e+02  1.0940498102523295e-01   4.6646870482689734e-01   6.7344325043481290e-01   1.0941372234129204e-01   4.6634060008959394e-01   6.7344325043481290e-01   1.0423994351481682e+02   5.5316270246833270e+01   1.0425491102547997e+02   5.5307281151628949e+01 
19      11      -1      -2      4       2.467666e+06  1.446300e+04  1.0940355023204090e-01   -1.1268805682126821e+00  -6.9399188713601456e-01  1.0940919854824376e-01   -1.1269795078323270e+00  -6.9183676269295591e-01  5.1119726850513601e+01   -1.0089416917194410e+02  5.1111801625179432e+01   -1.0090454127722857e+02
20      12      0       -3      0       3.447298e+06  1.449800e+04  1.1185355393128041e-01   -6.2061204783972601e-01  -2.6944315255921647e-01  1.1186243162183626e-01   -6.2068392472344802e-01  -2.6967748844903094e-01  9.7424833542654255e+01   -6.5195641332965081e+01  9.7427622223605240e+01   -6.5208023344062013e+01
21      12      3       -3      0       2.266000e+04  4.800000e+02  1.1186058914077374e-01   -8.3772877262317705e-02  7.2330227308472472e-01   1.1186180933890845e-01   -8.3805116669128876e-02  7.2330227308472472e-01   1.1891590009922731e+02   -6.4125204568200225e+00  1.1891688434794744e+02   -6.4164175776623660e+00
22      15      1       -1      -10     2.152943e+06  1.444700e+04  1.2403093972598438e-01   8.0188758899914536e-01   -3.3556187154465128e-01  1.2403509624856246e-01   8.0176817615629659e-01   -3.3586038303665955e-01  9.2126406759912285e+01   9.7499463900225464e+01   9.2140756309000935e+01   9.7491803490806632e+01 
23      15      -1      0       -10     1.828699e+06  1.446500e+04  1.2403849925541546e-01   6.3612931091877878e-01   -9.9521844789028957e-01  1.2402463772757581e-01   6.3614034957952059e-01   -9.9478325347303032e-01  1.0650682469737232e+02   8.1217351241104637e+01   1.0649403661970277e+02   8.1209704242099562e+01 
24      16      1       -2      -9      4.178620e+05  7.198000e+03  1.2452186992219902e-01   4.8650363358137144e-01   -2.7542771370889907e-01  1.2452472695364739e-01   4.8643689381569544e-01   -2.7531422984155368e-01  1.1735617757722468e+02   6.4918709239130862e+01   1.1736298386256813e+02   6.4912395073717576e+01 
25      16      1       1       -9      1.793265e+06  1.441600e+04  1.2452549168356808e-01   1.4305836752735299e+00   -6.4461000691841630e-01  1.2450908022942175e-01   1.4305145655701275e+00   -6.4463636790956391e-01  1.9398354672788614e+01   1.3343429394265252e+02   1.9404948621431888e+01   1.3341569059934818e+02 
26      16      -1      -1      -9      3.642560e+05  6.354000e+03  1.2452896093464107e-01   3.5059804585449961e-01   -8.2760595954563865e-01  1.2451944048210964e-01   3.5058898706210301e-01   -8.2764799289817947e-01  1.2469934742223332e+02   4.8624554030361530e+01   1.2469023421159528e+02   4.8619926575826767e+01 
27      16      2       -1      -9      7.296190e+05  1.122500e+04  1.2452269156892275e-01   9.1227970974686012e-01   1.0668719924704310e-01   1.2452262491376120e-01   9.1218286865999954e-01   1.0673599830071452e-01   8.1497826095083767e+01   1.0735730022660218e+02   8.1507868327806037e+01   1.0734947281667566e+02 
28      18      2       -4      0       5.494320e+05  7.553000e+03  1.2918197338128118e-01   -3.9440137224101590e-01  2.7315119399033566e-01   1.2918504697495248e-01   -3.9434803640731564e-01  2.7318859059013167e-01   1.2738172861961620e+02   -4.8952315101084906e+01  1.2738754519951017e+02   -4.8946844144375703e+01
