#
# ID	PID	H	K	L	sum(int)	max(int)	pred tth          	pred eta          	 pred ome          	meas tth          	meas eta          	 meas ome          	meas X            	meas Y            	 meas ome
#
0     	1     	0  	-1 	-2 	1.087063e+06	1.445000e+04	4.412861565509e-02	-7.334219258728e-02	-3.818260967250e-01	4.412576266388e-02	-7.328658585225e-02	-3.819069680586e-01	4.767682573012e+01	-4.194937318337e-02	-3.819069680586e-01
1     	14    	0  	-1 	4  	5.195082e+06	1.444200e+04	6.020293888672e-02	-1.330039412659e+00	9.607537536689e-01	6.020798724770e-02	-1.330016945470e+00	9.594818436352e-01	1.661199629461e+01	-5.822593865921e+01	9.594818436352e-01
2     	14    	1  	-1 	-4 	2.685686e+06	1.440900e+04	6.020495764459e-02	5.942761551717e-01	1.088183078920e-01	6.021052351339e-02	5.941807487141e-01	1.091370464334e-01	5.377345887231e+01	3.881970457101e+01	1.091370464334e-01
3     	0     	1  	-2 	0  	1.128333e+06	1.447000e+04	6.454074331601e-02	-3.937429292428e-01	3.078779552573e-01	6.454638965761e-02	-3.936773169603e-01	3.079133735926e-01	6.413995895907e+01	-2.265314536950e+01	3.079133735926e-01
4     	0     	-1 	-1 	0  	1.876385e+06	1.446000e+04	6.454302862941e-02	-6.719743607394e-01	-8.989084950146e-01	6.453703006826e-02	-6.721046311542e-01	-8.986244070155e-01	5.466953761615e+01	-3.889977292201e+01	-8.986244070155e-01
5     	8     	1  	-2 	3  	1.311020e+05	7.140000e+02	7.364549079298e-02	-7.914653962604e-01	6.684998424516e-01	7.345469669182e-02	-7.911013588819e-01	6.673894918371e-01	5.584570525825e+01	-5.160273879623e+01	6.673894918371e-01
6     	8     	1  	-2 	-3 	1.496006e+06	1.442300e+04	7.364899475997e-02	3.883154676521e-02	4.314612418582e-02	7.364253619571e-02	3.867302485502e-02	4.327690960545e-02	7.881763426332e+01	6.422128703078e+00	4.327690960545e-02
7     	8     	-1 	-1 	-3 	1.540995e+06	1.448200e+04	7.365011724025e-02	-1.714186947684e-01	-8.434234830950e-01	7.364130682787e-02	-1.715054204959e-01	-8.433717091675e-01	7.783201423494e+01	-9.802037740394e+00	-8.433717091675e-01
8     	8     	2  	-1 	-3 	1.043140e+05	8.290000e+02	7.364807099145e-02	6.243032020110e-01	7.842509489357e-01	7.334990773443e-02	6.249059344628e-01	7.851285577187e-01	6.386752712366e+01	4.855066058443e+01	7.851285577187e-01
9     	4     	0  	-2 	2  	1.150260e+05	1.473000e+03	7.819294629159e-02	-9.098497538970e-01	-1.192554139494e-01	7.820183850434e-02	-9.097927580193e-01	-1.191878166947e-01	5.208225573644e+01	-6.161874326511e+01	-1.191878166947e-01
