#
# ID	PID	H	K	L	sum(int)	max(int)	pred tth          	pred eta          	 pred ome          	meas tth          	meas eta          	 meas ome          	meas X            	meas Y            	 meas ome
#
0     	1     	0  	-1 	-2 	1.045915e+06	1.445000e+04	4.412758891289e-02	-7.335007613129e-02	-3.819160608373e-01	4.412680306007e-02	-7.313628605196e-02	-3.819976691200e-01	4.769465480595e+01	-3.988405644055e-02	-3.819976691200e-01
1     	14    	0  	-1 	4  	5.408796e+06	1.444200e+04	6.020164528969e-02	-1.329974634719e+00	9.608143470695e-01	6.020590060199e-02	-1.329953785466e+00	9.598131279165e-01	1.665455733000e+01	-5.822717216037e+01	9.598131279165e-01
2     	14    	1  	-1 	-4 	2.735416e+06	1.440900e+04	6.020219081455e-02	5.942829283438e-01	1.087195941912e-01	6.020504025785e-02	5.942953447759e-01	1.090141383139e-01	5.379618375712e+01	3.881865855827e+01	1.090141383139e-01
3     	0     	1  	-2 	0  	1.169302e+06	1.447000e+04	6.453929467563e-02	-3.937358736852e-01	3.078484747146e-01	6.454500019690e-02	-3.937329946415e-01	3.078738045587e-01	6.417308425532e+01	-2.266121886870e+01	3.078738045587e-01
4     	0     	-1 	-1 	0  	1.820782e+06	1.446000e+04	6.454191000092e-02	-6.719749489594e-01	-8.989708736018e-01	6.453883511936e-02	-6.721344303199e-01	-8.986720855786e-01	5.466623458871e+01	-3.890885954717e+01	-8.986720855786e-01
5     	8     	1  	-2 	3  	2.428470e+05	6.200000e+01	7.364518847846e-02	-7.914269531850e-01	6.685022161087e-01	7.514219872514e-02	-7.918411883217e-01	6.674914793924e-01	5.710003988849e+01	-5.291376160850e+01	6.674914793924e-01
6     	8     	1  	-2 	-3 	1.418157e+06	1.442300e+04	7.364624241275e-02	3.882955745052e-02	4.307711285913e-02	7.363915753421e-02	3.872091170018e-02	4.321726525073e-02	7.884450036415e+01	6.421101489517e+00	4.321726525073e-02
7     	8     	-1 	-1 	-3 	1.495737e+06	1.448200e+04	7.365025231394e-02	-1.714261323456e-01	-8.435163867962e-01	7.364494651419e-02	-1.715000528765e-01	-8.434642306656e-01	7.783539980772e+01	-9.807501378137e+00	-8.434642306656e-01
8     	8     	2  	-1 	-3 	1.084120e+05	6.540000e+02	7.364552069028e-02	6.243127259068e-01	7.841988764678e-01	7.331268596319e-02	6.245618490990e-01	7.842143717950e-01	6.389103919246e+01	4.850146313443e+01	7.842143717950e-01
9     	4     	0  	-2 	2  	1.211150e+05	1.655000e+03	7.819076429807e-02	-9.098456981026e-01	-1.192575269267e-01	7.819849058455e-02	-9.098131208631e-01	-1.192147277038e-01	5.210399829184e+01	-6.162363278550e+01	-1.192147277038e-01
