# ID    PID     H       K       L       sum(int)      max(int)      pred tth                 pred eta                 pred ome                 meas tth                 meas eta                 meas ome                 pred X                   pred Y                   meas X                   meas Y                 
0       0       0       -1      -2      9.429240e+05  1.445000e+04  4.4130452908391411e-02   -7.3348110695614588e-02  -3.8176681123756728e-01  4.4133521971952333e-02   -7.3164649199178020e-02  -3.8186601889861288e-01  4.7705264741312817e+01   -5.2463122329965847e-02  4.7709088808311520e+01   -4.4203488472847052e-02
1       1       0       -1      4       5.620731e+06  1.444200e+04  6.0205666036398417e-02   -1.3299488477897172e+00  9.6085663611941419e-01   6.0211956326805142e-02   -1.3300796320646622e+00  9.5960013298991942e-01   1.6688127549738713e+01   -5.8220835054644041e+01  1.6681687337980076e+01   -5.8229268354492781e+01
2       1       1       -1      -4      2.644698e+06  1.440900e+04  6.0204124479559779e-02   5.9424466779553853e-01   1.0877099198373277e-01   6.0202464642156117e-02   5.9428410387208785e-01   1.0906885867696467e-01   5.3817962723706884e+01   3.8808222114188652e+01   5.3815114014286515e+01   3.8809304672238696e+01 
3       2       1       -2      0       1.179894e+06  1.447100e+04  6.4544578823128654e-02   -3.9377448247204111e-01  3.0790935930056923e-01   6.4548116686675608e-02   -3.9381834435177204e-01  3.0793096338850029e-01   6.4195889310856984e+01   -2.2663189333638435e+01  6.4198202358605954e+01   -2.2667365736445511e+01
4       2       -1      -1      0       1.778269e+06  1.446000e+04  6.4540510113064178e-02   -6.7198147682762022e-01  -8.9876722609912740e-01  6.4541520246643655e-02   -6.7217858445478929e-01  -9.0283393230563791e-01  5.4659893913583034e+01   -3.8900052828771116e+01  5.4652393946534993e+01   -3.8911205598618686e+01
5       4       1       -2      3       1.100480e+05  8.530000e+02  7.3651234146211469e-02   -7.9146060089999570e-01  6.6854385953335171e-01   7.3515287160933002e-02   -7.9313755498172300e-01  6.6722571947213860e-01   5.6039703908879716e+01   -5.1769116141764698e+01  5.5846424793255004e+01   -5.1758540709936987e+01
6       4       1       -2      -3      1.411170e+06  1.442300e+04  7.3651571034095226e-02   3.8790822576201825e-02   4.3157685242583843e-02   7.3645920862274228e-02   3.8719031433796854e-02   4.3302396545353602e-02   7.8874971568975553e+01   6.4241177677205208e+00   7.8869239235616163e+01   6.4183139661880899e+00 
7       4       -1      -1      -3      1.482453e+06  1.448200e+04  7.3650193989415691e-02   -1.7139563658548343e-01  -8.4332961252826510e-01  7.3643356069252153e-02   -1.7148689925977650e-01  -8.4327800742210801e-01  7.7828802577538113e+01   -9.8018980374463052e+00  7.7820494755726600e+01   -9.8076541263038948e+00
8       4       2       -1      -3      9.271300e+04  7.190000e+02  7.3641191143040824e-02   6.2430097526123285e-01   7.8422866398282998e-01   7.3364172172551895e-02   6.2432986898418397e-01   7.8484113782375453e-01   6.4209769277149448e+01   4.8678793840308586e+01   6.3971516128612180e+01   4.8509070202486193e+01 
9       6       0       -2      -4      1.627795e+06  1.449300e+04  8.8282410122925453e-02   -7.3381886653456241e-02  -4.0390233863641567e-01  8.8292533441209992e-02   -7.3472757725940085e-02  -4.0417595184231281e-01  9.4171934868200552e+01   -3.3621619456352723e+00  9.4182022121860754e+01   -3.3713506966356133e+00
